id,location,lon,lat
ALX01M,Przy Delikatesach Centrum,22.9126023,50.4636073
ALL03M,Przy sklepie Stokrotka,19.31933,51.80846
ALL04N,Przy sklepie motocyklowym,19.32608,51.81462
ALL04M,Przy sklepie spożywczym,19.284584,51.819728
ALL05M,Przy Aldi.,19.3190086,51.8171909
ALK05M,przy drodze,18.6914769,52.8712563
ALL02M,Przy Markecie Lidl.,19.32083,51.81486
ALX01BAPP,Przy sklepie spożywczym,22.873245,50.4690089
ALL11M,Przy BIOMIKO Skład Opału.,19.2955475,51.8212511
AEX01M,Przy Dino,19.9752169,51.2661867
ALX02BAPP,Przy sklepie spożywczym,22.8432682,50.4735715
