id,location,lon,lat
AND02N,Przy budynku usługowym,19.3389796,49.8486742
AND01M,obok parkingu sklepu Netto,19.3467485,49.8601417
AND01A,Przy markecie Biedronka,19.3348697,49.8554823
AND01N,Przy sklepie Groszek,19.3423869,49.85135
AND02M,Sklep Mięsny Szubryt,19.3503455,49.8588764
AND01AP,FunPark Andrychów Słowackiego,19.3477833,49.8531728
AND04M,ALDI Andrychów,19.3364055,49.8562478
AND03M,Sklep Spożywczy SPOŁEM - Parking,19.3563607,49.8623972
AND07M,Market Dino,19.3269997,49.851498
AND06M,Parking przed Restauracją MAGIK,19.3556918,49.8404774
AND08M,parking przy Lidlu,19.3251779,49.858706
AND02APP,Kaufland Andrychów,19.3347153,49.8547926
AND01APP,Na końcu parkingu kompleksu handlowego Wizan,19.3398019,49.8529537
