id,location,lon,lat
AUG06M,posesja prywatna,22.9574593,53.8489183
AUG02A,Przy sklepie Społem Borki,22.9683182,53.8509287
AUG02M,przy sklepie Aldona,22.9653005,53.8482446
AUG01N,Przy sklepie Mrówka,22.9595735,53.8419404
AUG08M,w linii ogrodzenia,22.9710806,53.8426001
AUG01M,przy Lidlu,22.9758929,53.8415122
AUG04N,Przy sklepie Szmizjerka,22.9744158,53.8396459
AUG07M,przy myjni MyWash,22.9718154,53.8316248
AUG02N,Przy budynku Hurtowni DS-Bis,22.9849824,53.8350365
AUG04M,Przy wjeździe na plac,22.993149,53.8354224
AUG03N,Przy markecie Bystry,22.9987553,53.8403968
AUG05N,Przy restauracji Żagielek,22.9958769,53.8445609
AUG03M,Posesja prywatna,22.9893637,53.8479308
AUG03A,Przy sklepie Gama,23.0056883,53.8580003
AUG05M,Przy sklepie Społem,22.9868837,53.8389482
AUG848,przy Kauflandzie,22.9723489,53.8386482
ASTQ01BAPP,Przy sklepie spożywczym,21.1694448,51.6885492
