id,location,lon,lat
BPO04N,Stacja BP ul. Brzeska 174,23.1621062,52.0408682
BPO06M,Przy wejściu do sklepu,23.140851,52.0380607
BPO06A,Przy wejściu do Delikatesów Centrum,23.1330548,52.0423472
BPO05A,Parking Hotelu Harmonia,23.1082952,52.0366641
BPO01M,Na parkingu sklepu Kaufland,23.134718,52.02733
BPO01ML,Stacja paliw Lotos,23.1555955,52.0247764
BPO05N,Przy sklepie Delikatesy Centrum,23.150325,52.0282013
BPO07M,Przy wejściu do sklepu,23.1348012,52.0236177
BPO02N,Przy siłowni Olimpic,23.1234684,52.0116057
BPO14M,Przy Merkury Skład Budowlany,23.0993756,52.0106499
BAA01N,Przy sklepie Lewiatan,19.0548699,50.8777641
BPO10M,Przy sklepie Eden,23.1392829,52.0491533
BPO09M,Przed sklepem spożywczym MAX,23.1021175,52.0463589
BPO12M,Stacja Circle K,23.1201157,52.0263015
XIA01M,parking przed sklepem,22.5726023,51.7865497
BPO13M,przy budynku stacji Shell,23.1082109,52.0496589
BQQ01M,Market Dino,17.65996,50.38332
BNS01M,Przy przystanku autobusowym,17.3057879,50.4338103
BIX01M,Przy okręgowej stacji kontroli pojazdów,17.67155,50.39218
