id,location,lon,lat
BIA20N,Przy Centrum Handlowym Atrium Biała,23.1781069,53.1219739
BIA06N,Przy wejściu do sklepu Społem,23.174172,53.1338748
BIA07A,Przy markecie Społem,23.187871,53.1344082
BIA07M,Przy barze Pogodna,23.1419831,53.1174652
BIA13M,przy Lidlu,23.131372,53.1559194
BIA29M,przy sklepie chorten,23.1227616,53.1510353
BIA03M,Przy sklepie Hermes,23.1218126,53.152868
BIA17M,przy Stacji Moya,23.2288132,53.0984721
BIA70M,przy Kinoplexie,23.153818,53.1335615
BIA04M,Przy sklepie Opałek,23.1599643,53.1271762
BIA05A,Przy DH Central,23.1550522,53.1303606
BIA78M,przy Parafii Św. Rocha,23.1448633,53.1354245
BIA71M,posesja prywatna,23.1419562,53.1333088
BIA555,Przy pizzerii Pelati,23.1540016,53.1200123
BIA22N,Przy sklepie Społem,23.180605,53.1280711
BIA53M,Przy sklepie spożywczym Top Market,23.1861218,53.1295096
BIA23A,Przy barze Słowiańskim,23.1895176,53.1298543
BIA33M,przy sklepie Lewiatan,23.1998992,53.1483855
BIA06M,Przy stacji paliw Lotos,23.1943924,53.1427157
BIA22M,przy sklepie Lewiatan,23.1886816,53.1444103
BIA20A,Przy sklepie Społem,23.0892479,53.1224828
BIA67M,przy Pizzerii Toni Peperoni,23.1743543,53.1304971
BIA02BAPP,Parking sklepu rowerowego,23.2104177,53.1250294
BIA52M,Po lewej stronie od sklepu Lewiatan,23.0768719,53.1668551
BIA27M,sklep Lewiatan,23.1016698,53.1323966
BIA16A,przy budynku mieszkalnym,23.1386859,53.1036331
BIA12A,Przy Fitness Club S4,23.0961853,53.1261393
BIA63M,przy myjni Bubble Wash,23.1137695,53.1078126
BIA14A,Przy markecie Bazar,23.0840674,53.1307062
BIA42M,Po prawej stronie budynku,23.0967663,53.1286376
BIA14M,Na parkingu przy Nest Banku,23.1697195,53.1268128
BIA62M,Przy stacji kontroli pojazdów,23.2172419,53.1425649
BIA55M,Na parkingu,23.2171243,53.1241166
BIA39M,przy firmie Majster,23.1943321,53.1215649
BIA08N,Przy sklepie Społem,23.211994,53.1433498
BIA15A,Wysockiego Park Handlowy,23.1852092,53.1620625
BIA31M,przy wejściu do Pływalni,23.1084995,53.1302568
BIA25N,Przy hipermarkecie Auchan,23.1176499,53.1361496
BIA11M,przy sklepie Lidl,23.1324657,53.1138706
BIA68M,przy garażach,23.1563869,53.1217346
BIA16M,Przy salonie kosmetycznym,23.2087152,53.0932657
BIA47M,Przy wejściu do sklepu Top Market,23.0886551,53.1518591
BIA43M,Przy budynku sklepu od frontu,23.1214032,53.1357384
BIA25M,przy sklepie Lewiatan,23.2105179,53.0863307
BIA08A,Przy Galerii Zielone Wzgórza,23.0973045,53.1234185
BIA69M,posesja prywatna,23.1397285,53.107713
BIA77M,przy sklepie Top Market,23.0884465,53.151747
