id,location,lon,lat
BPD01A,Przy parkingu,23.1814242,52.7692938
BPD07M,Obok sklepu spożywczego,23.2153221,52.7587153
BPD06M,przy sklepie Gama,23.1899376,52.7806715
BPD02M,Przy sklepie Lidl,23.1849699,52.7766496
BPD02A,Przy sklepie Społem,23.1796989,52.7604993
BPD05M,przy myjni samochodowej,23.2032975,52.7785531
BPO04A,Przy sklepie Metalowiec,23.1949601,52.7709427
BPD04M,przy sklepie elekrycznym Elhurt,23.1851401,52.7657174
BPD01M,Przy wejściu do sklepu Arhelan,23.1996344,52.779802
BPD08M,przy sklepie Gama,23.1852608,52.753948
BPO03A,Przy sklepie Gama,23.2006965,52.7611191
BPD03M,Przy sklepie Arhelan,23.1738374,52.7524029
BPD03A,Przy sklepie Gama,23.1926042,52.7716146
