id,location,lon,lat
BBI03G,Stacja paliw MOL,19.0562136,49.8106766
BBI14N,Przy prywatnej posesji,19.0701164,49.8224719
BBI50M,Parking obok sklepu z lampami,19.04723,49.80203
BBI49M,na parkingu przed sklepem,19.06338,49.79171
BBI48M,parking za budynkiem,19.06213,49.80852
BBI47M,przed sklepem,19.05671,49.80416
BBI45M,Za wypożyczalnią rowerów,19.09204,49.79804
BBI44M,za przystankiem autobusowym,19.03172,49.81264
BBI41M,Lewiatan Kosmos Hałcnów,19.0974,49.85116
BBI36M,parking za sklepem,19.02428,49.85667
BBI35M,Żabka Olszówka Górna Al Armii Krajowej 171,19.03229,49.78677
BBI31M,SKP Rad-Net Bielsko Biała Krakowska,19.10198,49.82632
BBI30M,pomiędzy stacją paliw a myjnią,19.06831,49.8419
BBI29M,Przed pralnią,19.02138,49.80607
BBI28M,na lewo od sklepu,19.04995,49.84866
BBI26M,obok sklepu narzędziowego,19.07036,49.7766
BBI25M,boczny parking sklepu Lewiatan,19.0368549,49.8023704
BBI24M,parking sklepu,19.0204812,49.814843
BBI23M,boczna ściana sklepu,19.04243,49.82956
BBI21M,Obok myjni na stacji Shell,19.0516,49.84986
BBI20M,Przy Żabce,19.06168,49.82423
BBI19N,Za apteką,19.08687,49.8505424
BBI19M,Parking sklepu Lidl,19.0443416,49.8054367
BBI18N,Na stacji paliw Perełka,19.03513,49.85887
BBI17M,parking za sklepem,19.0027706,49.8088717
BBI16N,Przy budynku,19.05459,49.83601
BBI15M,Na parkingu Lidla,19.04265,49.8338
BBI13M,Przed warsztatem samochodowym,18.98035,49.82001
BBI12M,Obok sklepu Duet,19.05753,49.83115
BBI11M,Przy sklepie Żabka,19.01387,49.79541
BBI09N,Stacja paliw Crab,19.0300708,49.804972
BBI09M,Z boku pawilonu handlowego,19.02866,49.81322
BBI08N,Przy markecie Kaufland,19.03228,49.80048
BBI08A,Stacja paliw Na Skarpie,19.07212,49.83833
BBI07M,Na parkingu sklepu ABC,19.03819,49.79478
BBI05M,Obok budynku stacji paliw Orlen,19.04027,49.80122
BBI02N,Stacja paliw BP,19.04398,49.83117
BBI02M,Na parkingu przy sklepie Paulinka,19.04804,49.85514
BBI14A,Obok budynku staji,19.0691488,49.7898532
BBI02H,Lokalizacja w dawnym sklepie mięsnym,19.0348175,49.8066121
