id,location,lon,lat
BIL02N,Na parkingu Netto,22.7233862,50.5279879
BIL01G,Przy PSB Mrówka,22.7152477,50.515875
BIL02M,Przy sklepie Lidl,22.7110745,50.5334136
BIL04M,Przy sklepie BHP,22.7031085,50.5327503
BIL06M,Za salonem meblowym,22.7280766,50.5470721
BIL02A,Przy Galerii,22.724754,50.5412461
BIL05M,Przy sklepie motoryzacyjnym NEXCAR,22.7267571,50.5385566
BIL03M,Przy budynku usługowym,22.7232303,50.5354841
BIL07M,Przy centrum motoryzacyjnym,22.7229032,50.5331329
BIL08M,Salon meblowy OPAL,22.7079757,50.5313735
BIL10M,Przy Stokrotce,22.7144801,50.5315211
BIL09M,Przy Stokrotce,22.7272578,50.543357
BIL11M,Przy Shell,22.716256,50.5164724
BIL01APP,Przy Kauflandzie,22.7082856,50.5301476
BIL01BAPP,Przy sklepie rowerowym,22.7237717,50.5368973
BIL04BAPP,przy posesji prywatnej,22.6820975,50.5206644
BIL03BAPP,przy budynku usługowym,22.7441876,50.5501568
