id,location,lon,lat
CHO03N,Przy markecie Kaufland,18.9590434,50.2990336
CHO09N,Na stacji paliw Circle K,18.9507678,50.3069038
CHO14M,SHELL Chorzów 3 Maja,18.920165,50.3043953
CHO02B,Przy markecie Kaufland,18.9227314,50.303906
CHO06A,Przy Aptece Nova Sieciowa,18.93687,50.26439
CHO05A,Przy Pawilonie Handlowym,18.9739929,50.3075027
PNET0917,Parking na przeciwko Truchana 70,18.9434415,50.2937512
CHO02M,Przy sklepie ALDI,18.9399047,50.2841414
CHO21M,Przy sklepie Tania Odzież,18.9542278,50.2827839
CHO01H,W lokalu Ministerstwo HIFi,18.9494481,50.3036992
CHO06M,Przy sklepie Lidl,18.968493,50.2981868
CHO16M,SHELL Chorzów Al. Wojska Polskiego,18.9652588,50.2870357
CHO27M,Z tyłu sklepu Żabka,18.94758,50.28883
CHO22M,Przy firmie TRANSBEJ,18.95696,50.27591
CHO11N,Parking strzeżony Społem Chorzów,18.9603168,50.2812057
CHO09A,Przy sklepie Netto,18.94957,50.28697
CHO08A,Przy sklepie Netto,18.9495615,50.2797979
CHO07N,Na stacji paliw WASBRUK,18.94325,50.28009
CHO07A,Na stacji paliw Mądeltrans,18.9542743,50.273623
