id,location,lon,lat
CIE03A,Przy markecie Carrefour,20.6269993,52.8765613
CIE02ML,Przy markecie Kaufland,20.6296916,52.8766403
CIE02A,Przy wejściu na perony,20.5916892,52.8833746
CIE06M,Przy parkingu wspólnoty,20.6054956,52.8887912
CIE03M,Przy Gram Markecie,20.5989901,52.8722575
CIE04A,Przy tylnej ścianie sklepu Gram Market,20.6020158,52.8811765
CIE08M,Na parkingu przy sklepie Groszek.,20.6392672,52.8554275
CIE09M,"Przy sklepie ABC, po prawej stronie budynku",20.6349625,52.8957031
CIE02M,Przy parkingu za pasażem,20.6306011,52.8786849
CIE04M,Przy myjni bezdotykowej,20.6270454,52.8730751
CIE02N,Przy zakładzie poligraficznym,20.6137404,52.8895607
CIE05M,Na działce po prawej stronie od wjazdu,20.5859015,52.8684366
CIE10M,Przy sklepie z częściami samochodowymi,20.6214751,52.8821602
CIE01M,Przy sklepie Eurocar,20.6278178,52.8881
CIE01HO,"W sklepie, obok wejścia od ulicy Grodzkiej",20.6148962,52.8761846
CIE13M,Za sklepem Pigwa,20.6005412,52.8898451
CIE02BAPP,Przy basenie,20.6020885,52.8840045
CIE14M,Przy sklepie Aldi,20.6299558,52.8836525
CIE15M,Po lewej stronie budynku,20.6301538,52.8643357
CIE17M,Przy budynku biurowym,20.6333036,52.8772737
