id,location,lon,lat
DCX01M,Market Dino,18.2933354,53.1789285
DCX01A,przy sklepie ABC,18.3150246,53.1734811
DBI02M,Przy sklepie Arhelan,23.3522361,53.6524266
DBI01N,Przy sklepie Lewiatan,23.3548617,53.6523416
DBV01M,Przy sklepie,21.8076337,50.0582199
DGO03APP,obok piekarni,19.17736,50.31599
DTR04M,Przy budynku sklepu LIDL,20.986754,50.1798472
DTR03M,"Przy sklepie spożywczym, wejście od ulicy Paderewskiego",20.995499,50.1674419
DTR02N,Parking okręgowej stacji pojazdów,20.9856759,50.1792649
DTR02M,Przy wjeździe na myjnie,20.971488,50.1765189
DTR01M,Przy Centrum Dąbrowa Tarnowska,20.9894142,50.1751794
DTR01A,Przy sklepie wędkarskim,20.9829349,50.1733524
DWA01BAPP,Przy ogrodzeniu,16.7444418,52.4010564
