id,location,lon,lat
DEB03N,Przy pasażu Czerwona Torebka,21.4144223,50.0479672
DEB03A,Obok sklepu spożywczego MarMax,21.3849607,50.031938
DEB02N,Przy McDonald,21.4542402,50.0563647
DEB01N,Przy sklepie Majster,21.4426024,50.0560155
DEB07M,Na przeciwko wejścia do Czarnego Sezamu / Tył Stacji,21.3982658,50.033013
DEB04W,Na parkingu sklepu Jubilatka 35,21.3948595,50.0305313
DEB02M,Na parkingu sklepu Lidl,21.4119645,50.0545191
DEB10M,Przy myjni samochodowej Kwiatkowskiego/1Maja,21.3857109,50.0404935
DEB14M,Przy Sezam PSS Społem,21.4039,50.04563
DEB03W,Przy wejściu do sklepu Jubilatka 9,21.401411,50.0584288
DEB01ML,Przy Galerii Raj,21.43567,50.0530084
DEB01A,Przy sklepie spożywczym w pawilonie przy bloku Fredry 27,21.3996693,50.0497319
DEB04N,Przy sklepie Jubilatka 12,21.3997606,50.0432203
DEB02A,Przy markecie Biedronka,21.3990011,50.0617953
DEB09M,Przy ulicy Rzeszowskiej pomiędzy Kaufland a BP przy ścianie,21.43738,50.05454
DEB06M,Parking sklepu Jubilatka,21.4264797,50.0559811
DEB12M,Przy sklepie Lewiatan,21.3775934,50.0335924
DEB03M,"Przy stacji benzynowej Błysk, od strony ul. Księdza Nosala",21.415928,50.0487507
DEB13M,Przy sklepie,21.4295244,50.0813391
DEB01M,Przy sklepie elektrycznym,21.4294581,50.055786
DEB04M,Stacja Paliw Moya,21.4051879,50.0635895
DEB01W,Po lewej stronie od głównego wejścia do sklepu Jubilatka 7,21.422823,50.0532391
DEB08M,Przy myjni bezdotykowej CHEMAL,21.426293,50.0403825
DEB05M,Przy Sklepie Marmax,21.401245,50.051247
DEB02W,Naprzeciwko Dworca Autobusowego,21.4064498,50.0537284
DEB11M,Przy sklepie,21.43595,50.03851
DEB01HO,Wejście do pasażu od strony parkingu,21.4126164,50.046029
DEB04A,Przy sklepie Jubilatka 21,21.4217602,50.0476404
