id,location,lon,lat
ELB04N,Przy sklepie Żabka,19.4172436,54.151326
ELB03A,Przy sklepie Media Expert,19.4204261,54.1520116
ELB01M,Przy sklepie Top Market,19.4201712,54.1832609
ELB14M,przy Salonie Awangarda,19.4234457,54.1792858
ELB17N,Przy sklepie ABC,19.4159574,54.1783615
ELB11N,Przy sklepie spożywczym Społem,19.4148448,54.184105
ELB05N,Przy sklepie spożywczym Społem,19.3999745,54.1809721
ELB19M,posesja prywatna,19.3968077,54.1841206
ELB01A,Stacja paliw BP,19.40537,54.173
ELB02N,Przy sklepie Top Market,19.4136679,54.1696065
ELB08N,Przy zakładzie fryzjersko kosmetycznym Azjatik,19.42494,54.16744
ELB13N,Przy sklepie Społem,19.4186274,54.1621321
ELB15M,przy Żabce,19.4100477,54.1634004
ELB03M,obok komisu samochodowego,19.4111309,54.1586465
ELB13M,przy PZM,19.4257601,54.1500497
ELB08M,Przy sklepie Społem,19.4392872,54.1458164
ELB23M,przy Bistro Figa ze smakiem,19.4048645,54.1644533
ELB19N,przy gabinecie stomatologicznym,19.4166607,54.1547233
