id,location,lon,lat
GDA42N,"Przy wyjściu z przystanku SKM Politechnika, obok sklepu Żabka",18.6263241,54.373948
GDA03L,Przy markecie Intermarche,18.5648732,54.4234037
GDA23A,Przy sklepie Fresh Market,18.5567769,54.3305734
GDA02L,Stacja paliw MOL,18.5354577,54.3459027
GDA11B,Przy biurowcu Intel,18.4838632,54.3806593
GDA10N,Przy Centrum Handlowym Manhattan,18.6073945,54.3767796
GDA11N,Przy serwisie rowerów,18.560655,54.3504845
GDA05F,Przy Aptece,18.6099644,54.4028704
GDA06A,Przy markecie Gulden,18.5715616,54.420992
GDA15N,Przy sali okolicznościowej Jasieńska Kawka,18.5579559,54.341265
GDA25N,Przy IX komisariacie policji,18.4683612,54.4287795
GDA24A,Przy sklepie Freshmarket,18.5128797,54.352704
GDA43A,"Na parkingu hostelu, przy wejściu do baru Filip",18.6475328,54.3595699
GDA39A,Przy sklepie Żabka,18.5421436,54.3338906
GDA220M,przy stacji BP,18.5838042,54.3580427
GDA43N,Przy Stacji Kontroli Pojazdów Europak,18.4590281,54.426358
GDA18B,Przy markecie Biedronka,18.625553,54.3380733
GDA37M,"Miejsca parkingowe przy budynku Lidla, w pobliżu strefy dostaw",18.6078338,54.3003861
GDA48N,"Przy wejściu do budynku przy ulicy Orfeusza 2, od strony parkingu",18.4807099,54.4223789
GDA02G,Przy salonie fryzjerskim Studio Retro,18.5877313,54.3805229
GDA12A,Przy sklepie Oliwka,18.5816291,54.3844896
GDA51N,Przy sklepie internetowym Printexpress.pl,18.5744463,54.378335
GDA06M,Przy Centrum Oświetlenia Koma,18.5694877,54.412274
GDA66M,trawnik przed wejściem,18.652215,54.356131
GDA92M,Przy stacji PKM,18.5783329,54.3916815
GDA125M,Przy sklepie Aldi,18.4774658,54.4165155
GDA117M,obiekt mieszkalny,18.5850479,54.3187869
GDA99M,posesja prywatna,18.5856734,54.3134664
GDA52M,Przy Skwerze Morena,18.5875666,54.3580831
GDA28N,Przy pizzerii Włoszczyzna,18.5965346,54.3624973
GDA55M,Parking przy pasażu handlowym za pętlą tramwajową,18.6051165,54.3215577
GDA143M,Przy Contact Service Zakład Elektroniczny,18.5985988,54.3717382
GDA119M,przy Biedronce,18.5492497,54.3254497
GDA43M,parking Fitness Good Luck,18.5559734,54.3395732
GDA96M,przy Żabce,18.564276,54.3384722
GDA24M,Przy Minidelikatesach Motyl,18.4473249,54.4152366
GDA02N,Stacja paliw BP,18.5483137,54.3240213
GDA20N,Przy stacji kontroli pojazdów,18.5090355,54.3423192
GDA106M,przy sklepie,18.4861451,54.3851989
GDA18N,Stacja paliw AMIC ENERGY,18.5210415,54.3758735
GDA23M,Na parkingu sklepu Lidl,18.5968986,54.3359727
GDA34A,Przy wejściu do apteki,18.5690302,54.3892454
GDA90M,przy Groszku,18.5710847,54.385618
GDA06B,Przy sklepie ABO Elwart,18.5630824,54.3751837
GDA98M,przy stacji PKM,18.5730551,54.3648896
GDA102M,posesja prywatna,18.570987,54.3612711
GDA65M,przy chodniku obok LOT,18.646877,54.3506547
GDA05M,Za budynkiem Stacji Kontroli Pojazdów,18.60781,54.34932
GDA42M,na parkingu Lidla,18.6005317,54.3456598
GDA69M,przy pawilonie ROBYG,18.5858547,54.350746
GDA124M,Przy budynku usługowym,18.45276,54.44151
GDA28M,parking Oktan,18.4826338,54.4304547
GDA139M,przy sklepie spożywczym Marcin,18.4663261,54.4277354
GDA144M,przy sklepie spożywczym Lewiatan,18.4785036,54.4283088
GDA39M,Przy agencji celnej Depo,18.6601658,54.4035886
GDA41M,parking Lidla,18.6340058,54.4026906
GDA74M,przy Carrefourze,18.6037604,54.4057765
GDA16M,Przy Centrum Biurowym Arkońska,18.5777749,54.4046278
GDA30N,Przy galerii Zielony Kamyk,18.58651,54.41254
GDA63N,przy Żabce,18.5925651,54.4184412
GDA31N,Przy pawilonie handlowym,18.5836564,54.4207272
GDA29M,parking Lidla,18.6161527,54.3777099
GDA37N,Przy sklepie Lidl,18.6325757,54.3778178
GDA464,Stacja paliw Circle K,18.6339809,54.3785434
GDA51M,przy markecie Merkus,18.6321908,54.3790112
GDA07M,Po prawej stronie wejścia do Solarium Silver,18.5987533,54.3941518
GDA118M,przy sklepie Odido,18.6286224,54.3183389
GDA31A,Przy parkingu Hotelu Zatoka,18.6310805,54.3209548
GDA79M,posesja prywatna,18.637458,54.3268158
GDA135M,Przy budynku usługowym,18.6320732,54.3276846
GDA27M,Przy delikatesach,18.6423179,54.3431421
GDA09L,Przy sklepie GIGA,18.618942,54.3407166
GDA77M,przy klubie Mrs. Sporty,18.6255778,54.3418781
GDA50M,przy markecie Merkus,18.6300387,54.3414817
GDA49M,"przy hurtowni ""Tukan""",18.6285315,54.3383672
GDA54M,przy pasażu Activ Invest,18.61586,54.3334905
GDA29A,Przy sklepie Towaroteka,18.6150145,54.3279682
GDA08L,Stacja paliw Shell,18.6101899,54.3264855
GDA18A,Przy sklepie BIEDRONKA,18.6116079,54.3282758
GDA114M,przy stacji Moya express,18.7111642,54.3505395
GDA25M,przy parkingu Lidla,18.6370125,54.3320546
GDA39N,Przy Autoserwisie,18.6357933,54.3344344
GDA133M,Za budynkiem stacji,18.6417277,54.3407385
GDA137M,Przy sklepie,18.6555845,54.3340762
GDA120M,Przy Siedzibie LPP,18.6609753,54.3418525
GDA63M,przy automyjni,18.6832382,54.3480193
GDA55N,Przy sklepie Żabka,18.6847739,54.3573964
GDA151M,Przy budynku produkcyjnym,18.48012,54.42613
GDA150M,Parking przy sklepie,18.4927919,54.3548732
GDA161M,posesja prywatna,18.602299,54.3785333
GDA185M,Przy ścianie marketu Livio,18.582712,54.3795086
GDA184M,Na szczycie falowca,18.590564,54.4078403
GDA152M,Na ścianie frontowej pawilonu,18.5804162,54.4185789
GDA167M,przy Aptece,18.6606849,54.3997956
GDA149M,Przy sklepie Lewiatan,18.6099516,54.3433659
GDA01SAPP,Parking samochodowy,18.5809431,54.4021593
GDA38N,Na parkingu za sklepami Biedronka / Pepco,18.6171716,54.3252925
GDA179M,Przy budynku mieszkalnym,18.5928114,54.3304881
GDA05H,w Lokalu,18.5866429,54.4090817
GDA158M,Przy Kiosku,18.5951136,54.361785
GDA160M,Przy budynku mieszkalnym,18.6282665,54.3664774
GDA157M,przy sklepie Biedronka od ul. Miłosza,18.5901539,54.3485303
GDA10APP,Na parkingu centrum,18.5551573,54.3509791
GDA65N,Przy sklepie,18.6387416,54.4067727
GDA07APP,Na parkingu Aldi,18.4995436,54.3518027
GDA197M,przy serwisie opon,18.4605932,54.4383762
GDA196M,Przy sklepie,18.6188536,54.3262274
GDA172M,Przy Pizzerii Krokodyl,18.6085405,54.4013139
GDA194M,Przy sklepie rowerowym,18.5906188,54.3966071
GDA02SAPP,Przy parkingu,18.565085,54.3320651
GDA04IM,przy galerii Manhattan,18.607942,54.3774621
GDA09H,W lokalu,18.5347306,54.3444078
GDA11H,W lokalu,18.5871972,54.3831883
GDA165M,Przy Lewiatanie,18.626158,54.3352481
GDA20H,w lokalu użytkowym,18.5843361,54.307722
GDA217M,Przy sklepie ABC Modra,18.6747508,54.3371451
GDA15H,w sklepie Duży Ben,18.5818248,54.3078445
