id,location,lon,lat
GDY12A,Przy markecie Biedronka,18.515497,54.4705082
GDY11A,Przy Centrum Handlowym Bosman,18.5323145,54.5486103
GDY03N,Przy markecie Biedronka,18.4358103,54.4821621
GDY09N,Przy sklepie Alf,18.4630948,54.5254548
GDY19M,Przy sklepie Żabka,18.4966945,54.5296882
GDY10B,Przy sklepie papierniczym KA-MI,18.5248693,54.5543818
GDY16A,Przy Dworcu PKP Chylonia i markecie Biedronka,18.4612929,54.5455544
GDY15A,Przy Pubie 69,18.5434445,54.5430567
GDY112M,Przy budynku mieszkalnym,18.5378898,54.5488351
GDY46M,przy bloku,18.521825,54.5552864
GDY19A,Przy sklepie spożywczym,18.5382154,54.5816185
GDY05ML,Stacja paliw Moya,18.4954519,54.5318183
GDY30M,Przy sklepie Żabka,18.4634102,54.4748469
GDY05N,Posesja Prywatna,18.4883654,54.5335677
GDY17N,Po prawej stronie wjazdu do SKP Redline,18.472689,54.5000702
GDY55M,budynek mieszkalny,18.4686487,54.5019018
GDY73M,posesja prywatna,18.4314079,54.496656
GDY71M,przy drogerii,18.43576,54.49294
GDY65M,obok sklepu,18.4062858,54.5051833
GDY43M,Przy administracji RSM,18.5488899,54.4922949
GDY70M,przy aptece,18.5515232,54.4946035
GDY47M,przy piekarni-cukierni,18.5391444,54.4837035
GDY80M,Przed budynkiem fundacji,18.5036807,54.4776275
GDY34M,parking,18.512431,54.4740513
GDY13M,Przy sklepie rowerowym MK Bike oraz przedszkolu Stonoga,18.4886374,54.4728028
GDY83M,Przy pawilonach,18.4680516,54.4686516
GDY84M,Parking Lidla,18.4579413,54.4637183
GDY27M,przy delikatesach Justynka,18.4387403,54.5375109
GDY10M,Przy automyjni Zielona Myjnia,18.4493838,54.5484925
GDY44M,parking Sklepu Przyprawy,18.4673998,54.5500188
GDY28M,przy parkingu Lidla,18.4639813,54.5450861
GDY12M,Po prawej stronie nieruchomości,18.4829577,54.5385309
GDY14A,Stacja paliw BP,18.5155554,54.525611
GDY14M,Przy Kadok Nadruki i Reklama,18.5217403,54.5180041
GDY10N,Obok sklepu Odido,18.5508153,54.5063556
GDY78M,Przy wypożyczalni,18.5125,54.50035
GDY57M,przy Żabce,18.5086637,54.4958036
GDY22M,Przy parkingu sklepu Lidl,18.5110638,54.4970764
GDY22A,Przy sklepie Żabka,18.484045,54.5585715
GDY20N,przy delikatesach ABO,18.4995273,54.5544379
GDY68M,posesja prywatna,18.498743,54.5526581
GDY01M,Przy sklepie Żabka,18.5010757,54.5518593
GDY66M,posesja prywatna,18.5052856,54.5534139
GDY41M,przy parkingu RSM,18.5067076,54.5552296
GDY42M,przy sklepie Maja,18.5043811,54.5565546
GDY04B,Przy budynku administracji spółdzielni mieszkaniowej,18.5131522,54.5582046
GDY94M,na terenie prywatnym,18.5403163,54.5523637
GDY01H,w lokalu,18.4444961,54.4931021
GDY11M,Na rogu ulic Janki Bryla i Leona Staniszewskiego,18.4369245,54.4950001
GDY86M,Posesja mieszkalna,18.444195,54.5483788
GDY107M,Myjnia Witomino,18.507711,54.4912663
GDY03HP,w sklepie Duży Ben,18.503153,54.5521865
GDY88M,Na posesji prywatnej,18.5125157,54.4683088
