id,location,lon,lat
GLI01G,"Gliwice, Krokusów 23",18.5684764,50.261154
GLI02A,Gliwice,18.6632094,50.2927114
GLI06A,obok bloku,18.6551884,50.323035
GLI36M,U biegu ulic Odrowążów i Skarbnika,18.7268337,50.293262
GLI50M,Obok stacji,18.6614174,50.3241372
GLI02M,Przy Tesco,18.6287622,50.3113141
GLI02G,Obok stacji paliw,18.6292907,50.3106384
GLI46M,Obok Auchan,18.6169099,50.3131528
GLI11M,Obok Lidla,18.6419333,50.3362511
GLI81M,przy budynku usługowo-handlowym,18.67909,50.25183
GLI76M,przed budynkiem ul. Górników 28,18.70667,50.27735
GLI69M,przy pawilonie handlowym,18.6798606,50.2945837
GLI66M,przed budynkiem ul. Jagiellońska 32. Obok stomatologi Vadent,18.68525,50.29443
GLI62M,Prywatna posesja,18.69981,50.27972
GLI55M,Obok Hurtowni Elektrycznej,18.69755,50.31933
GLI48M,Obok Społem,18.72956,50.28643
GLI29M,Obok Sklepu Zoologicznego,18.7331917,50.287876
GLI25N,Obok sklepu,18.7025501,50.3003879
GLI14M,Przy stacji kontroli Pojazdów Ponicki Diagnostic,18.7072336,50.2996516
GLI07APP,Gliwice Młodopolska 1,18.73768,50.28289
GLI06APP,Gliwice Żeromskiego 58,18.73457,50.28926
GLI05APP,Gliwice Beskidzka 20,18.73647,50.29292
GLI04APP,na parkingu obok sklepu Żabka,18.68417,50.25308
GLI03N,Stacja paliw BP,18.69647,50.31745
GLI02B,Przy sklepie Lewiatan,18.6907,50.31976
GLI01M,Przy galerii Reforma,18.6943658,50.2765478
GLI38M,POLOmarket Gliwice Trynek,18.6700176,50.2813517
GLI75M,obok bloku,18.6572427,50.322932
