id,location,lon,lat
GOR10M,Przy wejściu frontowym do siedziby spółdzielni i biblioteki,21.1572006,49.6493199
GOR01N,Stacja paliw Grosar,21.1539474,49.6504154
GOR01A,Przy sklepie Delikatesy Centrum,21.1659273,49.6634234
GOR13M,Na skwerku zieleni przy budynku usługowo mieszkalnym,21.1575261,49.660136
GOR02N,Przy markecie Kaufland,21.1575757,49.6618329
GOR07M,Przy bocznej ścianie budynku biurowego LUKFOT,21.1610025,49.6647689
GOR03M,Przy sklepie Lider,21.1637275,49.6703595
GOR04N,Przy klubie Paradise,21.1491587,49.6547585
GOR12M,Przy chodniku pomiędzy Szkołą a siedzibą Spółdzielni,21.1572111,49.6634676
GOR02M,Tylny parking sklepu Lider,21.1490402,49.6615321
GOR06M,Na parkingu sklepu LIDL,21.1616986,49.6552195
GOR04M,Przy sklepie Delikatesy Centrum,21.1831876,49.6522339
GOR11M,Ściana frontowa przed wejściem do Spółdzielni,21.1495343,49.6571863
GOR02A,Przy Markecie Budowlanym Majster,21.1763251,49.6702819
GOR01M,Przy bocznej ścianie sklepu Dukat,21.1634738,49.6533768
GOR05M,Przy sklepie Hitpol,21.171274,49.6787634
GOR08M,Delikatesy Centrum,21.1523923,49.6482602
GOR03N,Na stacji Paliw Zakole,21.2023314,49.6865532
