id,location,lon,lat
GRA04N,Przy sklepie Gama,22.4543933,53.6524463
GRA10M,przy sklepie Społem,22.4634082,53.6446277
GRA03N,Na parkingu przy sklepie Gama,22.4528123,53.6464558
GRA03M,przy ścianie sklepu,22.4676531,53.6406225
GRA01N,Przy Delikatesach Centrum,22.4498988,53.6444402
GRA06M,przy Lidlu,22.4628731,53.6483341
GRA05M,przy bloku mieszkalnym,22.4719821,53.6413686
GRA01M,przy Stacji paliw,22.4642072,53.6498149
GRA04M,Pływalnia Miejska od strony Muzeum Mleka,22.4720638,53.6470961
GRA02M,przy sklepie Gama,22.4466883,53.6464713
