id,location,lon,lat
GRU01A,Przy budynku BPH,18.7547169,53.4840158
GRU02A,Przy markecie Intermarche,18.761053,53.486558
GRU06A,Przy markecie Kaufland,18.7578719,53.4889304
GRU04N,Przy siedzibie Auto Land,18.7689619,53.5000306
GRU13M,przy Żabce,18.7312419,53.4588681
GRU06M,Posesja prywatna,18.7837689,53.5021197
GRU07M,Posesja prywatna przy ulicy Tysiąclecia,18.7712567,53.494245
GRU12A,Przy przychodni Euromedica,18.775176,53.5026881
GRU11A,Przy sklepie Lemigo,18.7747215,53.4673591
GRU10A,Na parkingu kościelnym,18.7324416,53.4622473
GRU08A,Na parkingu sklepu Biedronka,18.8003832,53.5033742
GRU07N,Na parkingu przy sklepie Stokrotka,18.7308095,53.4287259
GRU07A,Przy salonie BRW,18.7274355,53.44775
GRU06N,Na parkingu przy Centrum Medycznym Amicmed,18.7646,53.4891
GRU05N,przy placówce Spinaker,18.8094034,53.4866146
GRU05M,Przy warsztacie Anex,18.7551595,53.4817291
GRU04M,Przy sklepie Żabka,18.7586768,53.5007833
GRU03N,Przy Spółdzielni Mieszkaniowej Administracja Nr 5,18.7696625,53.4626307
GRU02ML,Stacja paliw BP,18.7241087,53.4370315
GRU02M,Parking na lewo od wejścia do Rossmann,18.7384143,53.4736537
GRU15M,Przy sklepie spożywczym,18.776602,53.4628445
GRU01M,Przy salonie Synak Meble,18.7503675,53.4827392
GRU01L,Market Dino,18.7733352,53.4696476
GRU18M,Posesja prywatna,18.7768831,53.4962705
GRU25M,przy obiekcie mieszkalnym,18.7630529,53.4994457
GRU29M,Przy budynku mieszkaniowym,18.7568097,53.493651
GRU21M,posesja prywatna,18.7607785,53.4816152
GRU34M,przy budynku usługowym,18.7412179,53.4765008
GRU02BAPP,Przy Aptece Rodzinnej,18.720425,53.4529902
GRU02APP,Przy szkole,18.7157585,53.4532619
GRU23M,przy Delikatesach Dąbkowska,18.8002598,53.5029736
GRU11M,parking sklepu Miras,18.8140372,53.505187
