id,location,lon,lat
HJN04M,przy sklepie Gama,23.5851033,52.7423093
HJN01A,Przy markecie Kaufland,23.5877476,52.74136
HJN03M,przy sklepie Arhelan,23.5767596,52.7399199
HJN02N,Przy sklepie Społem,23.5906486,52.7319631
HJN02A,Przy sklepie Chortnen,23.5736339,52.7243428
HJN07M,"Obok wejścia do sklepu ""Arhelan""",23.5871786,52.7462356
HJN06M,przy sklepie Promyczek,23.6025069,52.7485124
HJN02M,przy wejściu do sklepu,23.5817375,52.7498119
HJN01N,Przy sklepie Mrówka,23.5864139,52.7411146
HJN01M,Przy sklepie Arhelan,23.5845404,52.7372921
HJN05M,przy sklepie Gama,23.5803652,52.7291925
