id,location,lon,lat
JRC01A,Przy markecie Netto,17.497907,51.9669516
JRC03M,Za sklepem Stokrotka,17.50192,51.96611
JRC07M,Parking przy sklepie spożywczym,17.4935846,51.93575
JRC08M,Parking Samochodowy,17.50039,51.96996
JRC14M,na terenie myjni samochodowej,17.5272261,51.9885934
JRC13M,niezabudowana działka os strony ulicy Wrzosowej,17.50207,51.98179
JRC16M,przy myjni samochodowej,17.48552,51.96928
JRC06M,Na terenie prywatnej posesji,17.4860764,51.9754239
JRC01N,Przy wjeździe na prywatną posejse,17.4853,51.95538
JRC05M,"Boczna ściana budynku, przy wejściu do Kauflanu",17.50036,51.96691
JRI01G,Przy Sklepie Delikatesy Euro,22.3072042,50.5702174
JRI01M,"Przy sklepie ""Nasz Sklep""",22.3135229,50.5668255
JRC17M,Market Dino,17.503977,51.9838194
