id,location,lon,lat
JAR01A,Przy delikatesach Piotruś Pan,22.6771135,50.0134152
JAR02M,Przy Delikatesach Centrum,22.6721914,50.0179005
JAR08M,Obok sklepu z farbami,22.6908795,50.0133028
JAR11M,Przy wejściu,22.6649622,50.0247955
JAR01N,Przy markecie Kaufland,22.6721513,50.0103675
JAR02A,Przy sklepie Biedronka,22.7062491,50.0088544
JAR06M,Na bocznym parkingu sklepu Lidl,22.6750794,50.0083985
JAR07M,Przy Wjeździe na parking,22.6801851,50.0182232
JAR01C,Przy sklepie Delikatesy Centrum,22.6669209,50.0387092
JAR02N,Przy sklepie Piotruś Pan,22.6658642,50.0230688
JAR03M,Przy stacji kontroli Wilk-S-Auto,22.6574465,50.019725
JAR09M,Z boku stacji Circle K,22.6612329,50.0443951
JAR01HO,"C.H. ""Stara Ujeżdżalnia"" główne wejście od ul. Sikorskiego",22.6829186,50.0152314
JAR10M,Z boku wejścia do sklepu Euro,22.7081639,50.0051965
JAR01M,Na stacji paliw Watkem,22.7018941,50.020831
JAR04M,Przy basenie miejskim,22.6857826,50.0149004
JAR12M,Przy Galerii Dworcowej PKS,22.6767552,50.0116332
JAR05M,Na parkingu z prawej strony marketu Aljan,22.6764045,50.0069167
JAR13M,Parking myjni,22.6643635,50.0096955
JAR14M,Przy myjni Euro Wash,22.6735667,50.0019588
