id,location,lon,lat
JAS02A,Przy markecie Biedronka,21.4672238,49.7396243
JAS02N,Za budynkiem Urzędu Pocztowego nr 1,21.4694893,49.7433667
JAS01E,Przy markecie Carrefour,21.4619394,49.7382934
JAS02M,Przy kortach tenisowych,21.4577601,49.7430218
JAS03N,Przy markecie Kaufland,21.4843644,49.7531956
JAS05M,"Przy sklepie ""Orzech""",21.4948809,49.749701
JAS06M,Na parkingu sklepu LIDL,21.4814016,49.7457883
JAS01M,Przy sklepie społem nr 28,21.4686596,49.7483491
JAS07N,Na parkingu Jagiełły 50,21.4677561,49.7456999
JAS04M,Przy Budynku Stacji Paliw Avia,21.467288,49.7279679
JAS09M,W środku osiedla,21.4610647,49.7367444
JAS03A,Przy Delikatesach Centrum,21.4524067,49.726538
JAS08M,Przy stacji paliw Grosar,21.5149716,49.7583523
JAS07M,Przy sklepie spożywczym,21.4917074,49.730206
JAS05N,Boczna ściana Delikatesów Centrum,21.4689498,49.7381182
JAS10M,Przy sklepei Zielony Koszyk,21.4337363,49.7622254
JAS03M,Przy domu jednorodzinnym,21.470484,49.760442
JAS04A,Stacja paliw Grosar,21.4233961,49.7658203
