id,location,lon,lat
KAL25M,parking ALDI,18.0612873,51.7499481
KAL20M,przy wejściu do sklepu spożywczego,18.149594,51.7494025
KAL10N,prywatna posesja,18.0678,51.75759
KAL09A,Na parkingu przy sklepie meblowym,18.0969369,51.7295492
KAL15M,Przy wjeździe na teren obiektu,18.08825,51.75831
KAL05A,Przy markecie Netto,18.0838485,51.7535509
KAL06M,Budynek Urzędu Miasta od ul. Krótkiej,18.084126,51.7601599
KAL19M,parking posesji od ul. Wąskiej,18.0777335,51.7552205
KAL12M,Parking przy Aldi,18.0892135,51.7683146
KAL01M,Market Dino,18.105007,51.7691633
KAL17M,przy wejściu do supermarketu,18.08537,51.78025
KAL08M,Przy sklepie ODiDO,18.10701,51.77815
KAL01N,Przy sklepie Lewiatan,18.1391243,51.7512168
KAL09M,Przy sklepie Twój Market,18.0518803,51.7507512
KAL24M,parking Lidla,18.0940227,51.7698127
KAL09N,Przy wejściu do Mini Parku,18.0501151,51.7522495
KAL10M,Lokale usługowe od ulicy Sokolnickiej,18.0811103,51.7410436
KAL03APP,Przy sklepie Odido,18.0205123,51.7250657
KAL29M,teren OSP Sulisławice,18.0693403,51.714924
KAL08N,Na stacji paliw BP,18.0833673,51.7670989
KAL30M,Na parkingu przy OSP Piwonice,18.1033703,51.7250442
