id,location,lon,lat
KBU01M,Delikatesy Centrum,18.9324392,50.9066896
KBU03M,przy stacji,18.9595057,50.906116
KBU01N,Przy sklep Glamour,18.9358339,50.8969016
KBU05M,Parking,18.9330719,50.8974243
KBU04M,Parking Netto,18.9321931,50.9034432
KBU07M,Lidl,18.9273924,50.9034055
KBU06M,Market Dino,18.9422991,50.9078542
KBU01A,Przy przedszkolu nr 5,18.9415422,50.9086056
KBU02N,Przy Zarządzie Dróg,18.9410133,50.912474
KBU02M,Euro Market,18.9385716,50.9154814
KBU08M,Stacja Moya,18.9270868,50.9140932
