id,location,lon,lat
KLB02A,Stacja paliw Circle K,21.7784186,50.2431294
KLB04M,"Po prawej stronie parkingu sklepu Groszek, przy zakładach mięsnych |Karkut|",21.7695493,50.2345625
KGL01M,Przy wejściu,21.787477,50.2315156
KLB01N,Przy sklepie spożywczym Orzech,21.7783391,50.2457038
KLB03M,Z prawej strony budynku na ścianie sklepu Lidl,21.78042,50.2404144
KLB01A,Przy markecie Intermarche,21.7669195,50.2469544
KLB05M,Przy wejściu,21.7696178,50.2444677
KLB02N,Przy sklepie Orzech,21.7594222,50.2441188
KLB01BAPP,Stacja Paliw Kropelka,21.7953282,50.2512952
KLB03BAPP,Parking Pizzerii,21.7571526,50.2388433
