id,location,lon,lat
KOL05N,Przy supermarkecie Kaufland,15.5734124,54.1712735
KOL01A,Przy siedzibie Auto-Szyby,15.5891215,54.1724876
KOL02A,Na tylnym parkingu sklepu Napoleon,15.5516653,54.1734373
KOL03M,Na parkingu sklepu Lidl,15.5599415,54.171548
KOL04M,Przy Hotelu Polonia,15.5606255,54.1819502
KOL04N,Na parkingu salonu meblowego Lorens i sklepu Biedronka,15.5779116,54.1808511
KOL05M,Przy sklepie NETTO,15.5893358,54.1741965
KOL11M,"Przy Uzdrowisku, od ulicy Konopnickiej",15.5710307,54.1830996
KOL08M,Przy sklepie Delikatesy Centrum,15.566459,54.1765563
KOL10M,Przy sklepie Delikatesy Centrum,15.5472102,54.1756716
KOL02M,Po lewej stronie parkingu Centrum Handlowego Albatros,15.5934587,54.1761823
KOL15M,Przy stacji paliwowej Shell,15.5962311,54.1761952
