id,location,lon,lat
KOS33M,Przy sklepie Żabka,16.1733636,54.2453536
RDU01N,Na parkingu przy sklepie Odido,16.2089676,54.1548609
KOS16M,Przy chodniku na Piłsudskiego 47,16.199871,54.1937803
KOS24M,Przy hotelu SPORT,16.19932,54.19666
KOS21M,Przy sklepie Stokrotka,16.2079761,54.198678
KOS02N,Stacja paliw BP,16.203566,54.2050955
KOS05A,Przy sklepie Żabka,16.1698679,54.2193454
KOS23M,Przy zakładzie szklarskim Szkiełko od strony parku.,16.1872427,54.195876
KOS32M,Market Dino,16.1533542,54.2097479
KOS04A,Przy sklepie Stokrotka,16.1626697,54.2064574
KOS27M,Przy sklepie Żabka,16.1663094,54.2028168
KOS03N,Przy sklepie Jysk,16.17373,54.18846
KOS30M,Przy budynku Związku Kynologiczego,16.1773303,54.1845994
KOS01M,Przy bocznej ścianie sklepu Czerwona Torebka,16.1834799,54.1812826
KOS07M,Obok budynku mieszkalnego,16.1918755,54.1837756
KOS09M,Bezpośrednio przy chodniku,16.1624873,54.1862357
KOS26M,Na prywatnej posesji przy rondzie od strony ul. Lechickiej,16.16929,54.17947
KOS17M,Przy Bistro,16.182078,54.1642344
SBL04M,Przy markecie Lidl,16.13547,54.1778015
KOS39M,obok wejścia do budynku przy ul. Spasowskiego 6,16.1948938,54.2073514
KOS36M,przy parkingu KFC prawa strona od wejścia,16.1965373,54.2019539
