id,location,lon,lat
KRP10M,Przy posesji prywatnej,17.9763905,50.4822349
KRP09M,Przy sklepie Lewiatan,17.97211,50.49371
KRP08M,"Przy salonie sprzedaży dywanów ""Pers""",17.9627711,50.4800834
KRP07M,Przed prywatną posesją,17.95743,50.47039
KRP06M,Przy sklepie Emma Market,17.9717509,50.491053
KRP05M,Za marketem Aldi,17.97801,50.48583
KRP04M,Przy stacji kontroli pojazdów,17.9501358,50.4684058
KRP03M,Przy Pasażu Handlowym,17.9775893,50.4862553
KRP02N,Lewy bok obiektu od głównego wejścia do Kauflanda,17.9785524,50.4861666
KRP02M,"Po prawej stronie od wejścia do sklepu Lidl, na końcu parkingu",17.9615754,50.4719888
KRP01ML,"Przy dworcu PKS, obok biura Ottocar",17.96739,50.47584
KRP01APP,"Krapkowice, Grunwaldzka 1",17.9861,50.4822
