id,location,lon,lat
KRO08N,Przy dworcu PKS,21.7461814,49.6950285
KRO07M,Na parkingusklepu LIDL,21.7733946,49.6798987
KRO05N,Przy Galerii Vivo,21.7769287,49.6765656
KRO05M,Przy wejściu do delikatesów centrum po prawej stronie,21.7684302,49.6818476
KRO03N,Przy sklepie Majster,21.7533556,49.6864881
KRO01M,Przy Pasażu Handlowym,21.753007,49.6879733
KRO03M,Przy sklepie Eska,21.7539411,49.6813237
KRO07N,Przy sklepie kaufland,21.7676295,49.6872431
KRO12N,Przy sklepie spożywczym Zielony Koszyk,21.7820663,49.6870864
KRO02M,Przy sklepie spożywczym Eska,21.7821188,49.6808417
KRO04N,Stacja paliw Grosar,21.7712361,49.6966367
KRO10M,Przy Delikatesach Premium,21.7888902,49.6951363
KRO11N,Przy Sklepie Spożywczym Nasz Sklep Express,21.7505574,49.6989299
KRO02G,Na stacji,21.7474416,49.6933046
KRO11M,Przy sklepie Zielony Koszyk,21.7258524,49.6900752
KRO16M,Przy sklepie spożywczym,21.7093857,49.6864601
KRO15M,Przy Galerii Zawodzie,21.7614206,49.6968529
KRO06N,Przy sklepie Delikatesy Centrum,21.7217319,49.7025474
KRO08M,Przy stacji paliw Żukstar,21.7147718,49.7211261
KRO13M,"Przy sklepie LIdl tylna ściana, boczny parking",21.7538225,49.6929332
KRO06M,Przy stacji paliw Lotos,21.7283898,49.7077757
KRO12M,Na tylnim parkingu Galerii Krosno,21.7733167,49.6931357
KRO04M,Na parkingu sklepu Groszek obok myjni samochodowej,21.7769738,49.6663956
KRO17M,Przy sklepie Frac od ul. Rzeszowskiej,21.7158655,49.7183773
KRD02M,przy wejściu na dworzec PKS,15.0986055,52.0476171
KRD08M,przy parkingu,15.100101,52.0505581
KRO19M,Sklep Turystyczny OUTDOOR ISLAND,21.7424913,49.7031872
KRO02BAPP,Market DINO,21.7779848,49.6913861
