id,location,lon,lat
KUT03A,Przy delikatesach Agatka,19.3509807,52.2304876
KUT05A,Przy sklepie Gram Market,19.36911,52.23685
KUT08M,Market Dino,19.3739479,52.2336825
KUT05M,Przy sklepie Delikatesy Centrum,19.3655508,52.2274534
KUT09M,Przy Sklepie Meblowym,19.36157,52.23251
KUT04A,Przy delikatesach,19.3527602,52.2361252
KUT03N,Przy sklepie Fachowiec,19.3485896,52.2355485
KUT04M,Przy Sklepie Groszek,19.34464,52.23027
KUT02N,Na stacji paliw Tramp,19.3437157,52.2259808
KUT01M,Na stacji paliw BP,19.3905425,52.219357
