id,location,lon,lat
KWD12M,posesja prywatna,18.9377176,53.7477284
KWD02M,Przy bocznej ścianie budynku,18.9385786,53.7499081
KWD04M,Przy sklepie PSS Społem,18.946526,53.7446068
KWD15M,Przy piekarni,18.9376362,53.7157584
KWD01G,Przy Hurtowni Walkusz,18.91871,53.72048
KWD07M,przy biurze usług księgowych,18.9410341,53.7227086
KWD01A,Stacja paliw Shell,18.9319101,53.7224416
KWD03M,przy markecie Stokrotka,18.9238699,53.725312
KWD04N,Przy serwisie opon,18.9340384,53.7279347
KWD08M,przy Aldi,18.932396,53.7330688
KWD16M,Przy Fitness Magnum,18.9444177,53.7388622
KWD03A,Przy markecie Kaufland,18.9389725,53.7393802
KWD03N,Przy hotelu,18.9261742,53.7359592
KWD14M,Na myjni,18.9173552,53.7352675
KWD17M,W płocie przy mechaniku,18.9214161,53.743499
