id,location,lon,lat
LEC12M,Twój Market,19.19336,52.05876
LEC11M,"""Od A do Z""",19.19004,52.05443
LEC10M,Łęczyca ul. Jana Kilińskiego,19.2008619,52.0611126
LEC09M,Sklep Odido,19.2076997,52.0514786
LEC08M,Myjnia Bezdotykowa,19.2098154,52.0470727
LEC07M,Wzdłuż ściany przy sklepie,19.1896166,52.0601467
LEC06M,przed budynkiem ZDZ,19.1931122,52.0557018
LEC03M,Na parkingu sklepu Netto,19.2048244,52.0556815
LEC13M,Za budynkiem sklepu Gram Market,19.1976838,52.0614966
LEC01M,Przy sklepie,19.1790904,52.0551806
LEC01G,Stacja LPG,19.2094605,52.0472596
LEC01A,Stacja paliw Petro Tank,19.1980033,52.0626663
