id,location,lon,lat
LEG08N,"Legnica, Muzealna 8",16.1583266,51.2048578
LEG03N,Stacja paliw Lotos,16.1566589,51.1783746
LEG05N,"Legnica, Jaworzyńska 83",16.1577848,51.1955224
LEG06M,Jaworzyńska 80,16.1598166,51.1971521
LEG19M,Przy myjni,16.2074791,51.2101619
LEG16M,Po lewej stronie od wejścia,16.2133243,51.2093008
LEG09M,Na parkingu przy Czerwonej Torebce,16.2207188,51.1989296
LEG20M,"Legnica, Chojnowska 150",16.135559,51.2084185
LEG11M,Za budynkiem przy Wrocławskiej 41,16.1720134,51.208941
LEG14M,"Legnica, Stefana Czarnieckiego 37",16.1801032,51.2102721
LEG03L,Przy Galerii DGB,16.1903083,51.2073099
LEG36M,"Legnica, Księdza Piotra Ściegiennego 1A",16.1587649,51.2120018
