id,location,lon,lat
LOD31N,Przy głównym wejściu na rynek,19.4177167,51.7905528
LOD63M,Na parkingu marketu Lidl,19.4759046,51.7990477
LOD18A,Przy sklepie Żabka,19.5215326,51.7832204
LOD73M,Po lewej stronie od wjazdu na teren warsztatu,19.4469397,51.781829
LOD140M,Przy Żabce,19.4260629,51.7854737
LOD47M,"Za apteką u Dominika, przed wejściem do Poradni CLUE",19.4645218,51.7885359
LOD31A,Przy markecie Carrefour,19.3794952,51.8042018
LOD47N,Przy sklepie Netto,19.4324691,51.7741239
LOD34A,Przy sklepie Leroy Merlin,19.42215,51.8022357
LOD24A,Na parkingu,19.4479789,51.7281221
LOD06A,Stacja paliw Lotos,19.4503417,51.7591048
LOD05A,Przy Centrum Handlowym,19.4859819,51.7177448
LOD08B,Stacja paliw BP,19.4353855,51.7182273
LOD08A,Przy sklepie Żabka,19.4679665,51.7310185
LOD05N,Market Dino,19.5246865,51.7912543
LOD72M,"Za budynkiem, od strony ul. Marmurowej",19.5346624,51.796358
LOD47A,Stacja paliw Moya,19.4391463,51.7891972
LOD30N,Przy sklepie Stokrotka,19.3878573,51.7782498
LOD35A,Na końcu parkingu,19.4768197,51.7211584
LOD55A,Na parkingu przy Galerii Wici,19.3740879,51.8002333
LOD11A,Na parkingu,19.3809905,51.7463883
LOD24M,Na końcu parkingu sklepu Lidl,19.4203163,51.7794221
LOD52M,Przy ulicy,19.4122563,51.7780728
LOD49M,Na parkingu budynku Business House,19.4383517,51.7716508
LOD126M,Róg ulicy Zielonej i Gdańskiej,19.449125,51.7701682
LOD67N,Na parkingu marketu Netto,19.4360073,51.8246627
LOD92M,Obok parkingu naprzeciwko kościoła,19.4141502,51.7882176
LOD114M,Łozowa 16,19.4319882,51.8271738
LOD134M,Przy rondzie Lotników Lwowskich,19.452031,51.7317414
LOD150M,Na parkingu marketu ALDI,19.4408832,51.7368859
LOD39N,Przy pawilonie handlowym,19.4432638,51.7371237
LOD41N,Na parkingu przy parku handlowym,19.5916455,51.7946423
LOD40M,Na parkingu przy Lidlu,19.3945849,51.7877524
LOD46A,Przy sklepie Żabka,19.381827,51.7364375
LOD155M,Przy administracji im. S. Żeromskiego,19.3880189,51.7934188
LOD148M,Przy administracji Karolew,19.4242027,51.7503907
LOD74M,Przy przystanku Kilińskiego - Nawrot,19.4677122,51.7627598
LOD16N,Przy Centrum Handlowe Retkinia,19.40564,51.74082
LOD164M,Na stacji Shell,19.41819,51.79347
ANJ01A,Przy sklepie Jamir,19.61287,51.74026
