id,location,lon,lat
LOM02A,Przy markecie Kaufland,22.0772527,53.1597523
LOM05N,przy sklepie Mila,22.0643924,53.179247
LOM02N,Przy wejściu do Bricomarche,22.0536442,53.1664032
LOM06N,Przy salonie meblowym Korfa,22.0799689,53.1740922
LOM01M,Na stacji paliw Orlen,22.0850161,53.1682248
LOM16M,Market Dino,22.0484612,53.1865239
LOM01BAPP,przy Biedronce,22.0721893,53.1698694
LOM14M,przy Aldi,22.0790871,53.1689301
LOM08M,Przy sklepie Lidl,22.0686454,53.1720045
LOM03N,przy salonie Abra,22.0607139,53.1662304
LOM06M,Przy markecie K 1,22.0682953,53.1596303
LOM05BAPP,posesja prywatna,22.0635478,53.1793567
LOM01G,Przy markecie Mrówka,22.0392187,53.1650047
LOM15M,przy Galerii Łomża,22.077211,53.1616986
LOM19M,Przy stacji Moya,22.0441781,53.1733725
LOM13M,przy sklepie ABC,22.0444986,53.1774438
LOM12M,Galeria Veneda przy stacji Orlen,22.0763374,53.1681038
LOM20M,przy supermarkecie,22.0766657,53.17978
LOM07A,Przy Galerii Łomża,22.0765566,53.1608612
LOM07M,przy Lidlu,22.0823919,53.1834048
LOM02M,Przy AUTO SALON KLUCZEK,22.0566587,53.1767358
LOM05M,Przy sklepie Lewiatan,22.082009,53.1586722
LOM02BAPP,przy sklepie metalowym,22.0422416,53.1759435
LOM10M,przy przedszkolu,22.0823719,53.1563248
LOM03BAPP,posesja prywatna,22.0652471,53.1582341
LOM08N,Przy warsztacie samochodowym,22.0545703,53.1841976
LOM04BAPP,przy sklepie Vien,22.062903,53.1692388
LOM01APP,posesja prywatna,22.0702317,53.1484266
