id,location,lon,lat
LOW01A,Przy bloku mieszkalnym,19.9547651,52.1065585
LOW18M,Netto,19.9269118,52.1007648
LOW05M,Market Dino,19.9144103,52.1062352
LOW06M,przy sklepie Lidl,19.9303793,52.1088336
LOW10M,Przy Delikatesach Centrum,19.94846,52.10523
LOW14M,Sklep ABC Bratek - Osiedle Bratkowice 10,19.92445,52.1019
LOW08M,Przy markecie Mrówka,19.9191465,52.0871942
LOW12M,Market Dino,19.9587178,52.104492
LOW09M,Przy myjni bezdotykowej.,19.9193783,52.0984501
LOW01BAPP,Przy budynku mieszkaniowym nr 42,19.9470015,52.093535
LOW17M,Kaufland,19.9409287,52.1009856
