id,location,lon,lat
LUB07N,Przy markecie Auchan,22.5606657,51.2665156
LUB01N,Przy sklepie Stokrotka,22.544442,51.2025649
LUB07ML,Stacja paliw Lotos,22.5495506,51.2141015
LUB11N,Przy Centrum Handlowym Atrium Felicity,22.6126499,51.231791
LUB16N,Przy SKENDE Shopping Centrum Handlowe,22.5700243,51.2831097
LUB33M,Przy Lewiatanie,22.577151,51.2764654
LUB40M,Przy Omega Centrum,22.5952209,51.197281
LUB17N,Przy sklepie Minuta 8,22.5954241,51.1955916
LUB38M,"Zieleniak ""U Sąsiada""",22.4925346,51.2229423
LUB05N,Przy sklepie Stokrotka,22.5104462,51.2224331
LUB05ML,Przy Color Park Lublin,22.5770482,51.2357297
LUB32M,Przy Lidlu,22.5742367,51.2237342
LUB04ML,Stacja paliw Shell,22.5620653,51.2534706
LUB16A,Przy Carrefour,22.5837834,51.2591843
node/8929305781,"Lublin, Mirosława Dereckiego 38",22.5404433,51.2799883
LUB84M,Przy sklepie Dywany Łuszczów,22.55627,51.22743
LUB81M,przy ścianie apteki przy wejściu,22.59585,51.24791
LUB79M,Przy budynku usługowym,22.51717,51.25556
LUB78M,"Przy Auto Serwisie 1,5 Volta",22.59109,51.21612
LUB77M,przy bocznej ścianie apteki,22.5006222,51.2211951
LUB76M,Przy piekarni,22.511097,51.2700255
LUB73M,Przy firmie Inform,22.47533,51.2877
LUB67M,Przy sklepie spożywczym,22.55151,51.25537
LUB65M,Przy parkingu,22.54692,51.25737
LUB64M,Przy garażach,22.53972,51.25935
LUB63M,Przy administracji RSM Motor,22.59283,51.25677
LUB59M,Przy LPEC,22.4979,51.23704
LUB58M,Przy budynku LPEC,22.50085,51.23523
LUB56M,Przy budynku LPEC,22.50842,51.23369
LUB55M,LSS Społem LUX,22.5319256,51.2496774
LUB28M,Przy Lidlu,22.54963,51.21308
LUB09M,Przy Galerii Parada,22.51121,51.25019
LUB80M,Na prywatnej posesji,22.5103332,51.2663984
LUB83M,Przy przedszkolu,22.5770051,51.2767246
LUB87M,parking przy schodach,22.5820232,51.2703399
LUB86M,Na parkingu Aldi,22.5730238,51.2762465
LUB97M,Niedaleko wiat śmietnikowych,22.6374681,51.2201957
LUB95M,przy wejściu do budynku administracji stadionu,22.5119488,51.2422275
LUB98M,Przy wiacie śmietnikowej,22.5822368,51.2315838
LUB93M,Przy sklepie spożywczym,22.5823965,51.2088874
LUB91M,Przy budynku mieszkalnym,22.5844543,51.2669985
LUB90M,Przy parkingu na posesji prywatnej,22.5821443,51.2764285
LUB99M,Przy Lewiatanie,22.4933443,51.2577985
LUB94M,Przy Aptece,22.5051643,51.2363185
LUB89M,Przy budynku ZUBRZYCKI i S-ka,22.5031143,51.2426085
LUB106M,Przy Stokrotce,22.5296943,51.2519685
