id,location,lon,lat
MAL02A,Przy markecie Kaufland,19.0309439,54.0340712
MAL03APP,Przy sklepie Netto,19.0377309,54.0255796
MAL09M,stacja paliw Circle K,19.0314279,54.0349758
MAL11M,Przy Lewiatanie,19.0273717,54.036775
MAL04M,przy Nettcie,19.0405578,54.0328805
MAL06M,posesja prywatna,19.038724,54.0332801
MAL06N,Przy pizzerii Castello,19.0323586,54.0359794
MAL05N,Przy sklepie Żabka,19.0450622,54.0377755
MAL02M,przy parkingu Lidla,19.0461148,54.027527
MAL07M,przy sklepie,19.0089774,54.0119055
