id,location,lon,lat
MAR02A,Przy Centrum Handlowym Prima,21.1229664,52.3444381
MAR04N,Przy Centrum Handlowym M1,21.0859051,52.3053484
MAR01ML,Przy myjni samochodowej,21.1243806,52.3619112
MAR03N,Przy sklepie,21.1128686,52.3320829
MAR07M,"Przy stacji Shell, na tylnej ścianie budynku",21.0908226,52.3047849
MAR11M,Na terenie myjni samochodowej,21.0986947,52.3147384
MAR06N,Na działce,21.1111086,52.3176321
MAR03M,Przy sklepie Żabka,21.12203,52.3189752
WAW114AP,Centrum handlowe,21.1082679,52.3243488
MAR08M,"Przy furtce wejściowej na osiedle, od strony ulicy Wesołej",21.1280946,52.3259397
MAR06M,obok sklepu Żabka,21.1255585,52.3290543
MAR13M,Przy warsztacie samochodowym,21.1176049,52.3379333
MAR02AP,Przy budynku firmy AM Biuro Rachunkowe,21.1269064,52.3499539
MAR01M,Przy sklepie Lidl,21.1133226,52.3346206
MAR09M,Przy wjeździe na teren sklepu budowlanego,21.1015031,52.3333943
MAR05N,Przy sklepie spożywczym Izabela,21.1004203,52.3264496
MAR10M,Przy sklepie spożywczym,21.093189,52.3266398
MAR05M,Przy myjni bezdotykowej,21.0881755,52.3211654
MAR14M,Przy delikatesach Struga,21.1340006,52.3586431
MAR04M,"Na działce, przy skrzyżowaniu ulic Ząbkowskiej i Kujawskiej",21.1091603,52.311375
MAR01APP,przy sklepie,21.1139121,52.3557589
MAR01N,Przy markecie Carrefour,21.0943494,52.320512
MAR01BAPP,Przy sklepie Aldi,21.0966822,52.3121469
