id,location,lon,lat
MIE05N,Przy pasażu handlowym WSK,21.4594112,50.3047022
MIE03M,"Przy pasażu handlowym, od ulicy Wolności",21.4363251,50.2866319
MIE02M,Przy sklepie Rossmann,21.4232092,50.2933457
MIE07A,Parking sklepu Super City,21.4633666,50.2978668
MIE04M,Na Stacji Benzynowej Top Gaz,21.4293948,50.3038656
MIE10M,Z tyłu wypożyczalni róg Naruszewicza i Zwycięstwa,21.44587,50.28686
MIE08M,Parking,21.4299333,50.2845113
MIE05M,Paczkomat znajduje się koło Zlep-Med,21.4199364,50.2881187
MIE01M,Przy wejściu do sklepu Lidl,21.4301901,50.2941809
MIE02W,Przy stacji paliw Orlen,21.403816,50.2873465
MIE02G,Przy sklepie Delikatesy Centrum,21.4644794,50.2641571
MIE06M,Przy Centrum Stylizacji,21.4637339,50.2917044
MIE04A,Przy galerii Navigator,21.4599898,50.2888787
MIE09M,Parking komory normobarycznej Oxygen,21.4656584,50.2830828
MIE08A,Przy sklepie Orzech,21.4152776,50.2958507
MIE05A,Przy sklepie spożywczym Jubilatka,21.4211415,50.2908707
MIE02BAPP,Przy myjni samochodowej BKF,21.438363,50.3078957
MIE06A,Stacja Paliw Leśna Polana/Parking,21.478986,50.2825713
MIE03N,Przy Pasażu,21.4352986,50.2932618
MIE02N,Przy Galerii Aura,21.4429179,50.2970303
MIE04N,Przy sklepie Delikatesy Centrum,21.423584,50.2983287
MIE329,Stacja paliw TOP-GAZ,21.4479844,50.2876796
MIE09A,Z boku budynku biurowego Jadernych 11,21.4281897,50.2890335
MIE01N,Stacja paliw BP,21.4236473,50.2891715
MIE11M,"Myjnia Lavado Kwiatkowskiego 5A, koło serwisu Auto Macher",21.4611075,50.3008918
MIE14M,Parking,21.4660034,50.2942842
