id,location,lon,lat
NIS02A,Na stacji paliw BP,22.0952651,50.5392893
NIS07M,Przy Sklepie,22.1049921,50.5402898
NIS02M,Przy parku handlowym obok bankomatu,22.1335758,50.5210629
NIS03M,"Parking GS ""Samopomoc Chłopska"" w Nisku",22.1401296,50.5139157
NIS01A,Przy sklepie ALDI,22.1341995,50.5223248
NIS01M,Na parkingu VIANOR - Mechanika Pojazdowa,22.1396402,50.5013652
NIS09M,Przy Delikatesach Piast,22.1252383,50.5223878
NIS06M,Przy sklepie spożywczym,22.173096,50.4933727
NIS05M,Przy wejściu do Pawilonu Handlowego Rolnik,22.1506276,50.5186842
NIS04M,Na wyjeździe ze stacji,22.1172668,50.5230365
NIS10M,Market Dino,22.1487737,50.4964496
NIS11M,Przy sklepie Lidl,22.154003,50.514918
NIS01APP,Na przeciwko lodów u Suchojada,22.1466903,50.519166
