id,location,lon,lat
NSZ01M,Na parkingu basenu miejskiego MOSIR,22.3406129,50.3182082
NSU01M,Przy Urzędzie Gminy Nowa Sucha,20.1691717,52.1604164
NSZ01N,Przy wejściu do PSB Mrówka,22.3351898,50.3321243
NWI01B,Przy sklepie Delikatesy,20.7949418,52.1406891
NRU05M,Market Dino,16.4977246,50.5796402
NES01M,przy sklepie Lewiatan,19.6004146,53.6082688
NVW01M,Market Dino,16.3866239,52.6955428
NWL01M,przy Żabce,17.7328264,54.5612584
NKA01M,Na parkingu,18.20131,54.13223
NVK01M,przy sklepie spożywczym,21.3781502,54.0636268
NEL01G,Przy sklepie Kaczorek,20.26898,52.37991
NWL01N,Przy sklepie Minuta8,17.72778,54.55866
NVS01M,Przy sklepie Spożywczym,22.0339221,50.0983686
NOD01M,Przy sklepie Groszek,21.751116,50.4293472
NOD02M,Po lewej stronie Delikatesów Centrum,21.7543779,50.407799
NOD01N,Ściana frontowa Centrum Handlowym,21.7547266,50.4143837
NOD03M,Parking od ulicy Cegielnianej,21.7539939,50.4064866
NKO01M,Przy wejściu do sklepu,22.9339197,52.1868613
NSZ02M,Z lewej strony sklepu,22.3435886,50.3221939
NOWI01M,przed OSP,22.2038774,52.438132
NQV01BAPP,Przy Sklepie Spożywczym,21.4115946,53.0854215
NQV01M,Przy sklepie Groszek,21.4149757,53.0845506
NBZ01M,Market Dino,19.18048,51.07854
NBZ01A,Przy Parku,19.182513,51.0807921
NAJ01M,Parking przy Restauracji,21.1427293,50.1247354
NOD01APP,Stacja Circle K z lewej strony wjazdu,21.7604878,50.3894457
