id,location,lon,lat
NMI01M,"Przy Szkole Podstawowej, na tyłach Hali Sportowej",20.6279294,52.6581023
NML01A,Parking sklepu Biedronka,19.5891001,53.431221
NML01M,Na stacji paliw Yellow,19.6094635,53.4204954
NOB01M,Przy sklepie Żabka,16.104022,54.1612758
NOE01M,Przy sklepie Maraton,18.7203858,53.6444111
NML04M,obok biura rachunkowego,19.5934236,53.4252994
NSK01A,Przy sklepie Delikatesy Centrum,17.9874016,51.7052788
NMN01M,Przy Parku Handlowym 1.2.3.,20.56395,51.61815
NML03M,obok Żabki,19.5934061,53.4326618
NPL01M,Parking od ulicy Okrężnej,22.1874076,52.1762766
NIG01N,Stacja paliw BP,22.2226538,52.1705937
NEP01M,Na parkingu przy sklepie,18.1385154,54.0328755
NOOY01M,Urząd Gminy Nowe Ostrowy,19.18731,52.3008
