id,location,lon,lat
NSA08A,Przy sklepie Lewiatan,20.7216679,49.6067789
NDM01A,Przy markecie Carrefour,20.7230644,52.431656
NDM01BAPP,Parking przy lotnisku,20.6515608,52.4454135
NDM02A,Przy sklepie Auto Max,20.7083876,52.4513198
NDM08M,Przy sklepie Delikatesy Centrum,20.7427668,52.4157596
NDG02M,przy parkingu Lidla,19.1229526,54.209032
NDG04M,przy Netto,19.11071,54.21349
NOS01N,Przy Centralnym Wodociągu Żuławskim,19.0150958,54.1354104
NDM06M,Na parkingu stacji benzynowej,20.69369,52.44795
NDM03M,Na parkingu sklepu Lidl,20.72169,52.42749
NDM07M,Na stacji Moya,20.7525713,52.4313803
NDM12M,Przy pizzerii Kołacz,20.7329391,52.426349
NDM09M,Na parkingu przy parku handlowym,20.7389107,52.4198012
NZM01M,Na stacji paliw Grosar,21.5295946,49.6088855
NTM08M,na parkingu myjni,16.1305701,52.3223573
NTA10M,"Przy sklepie ""Minuta""",20.0169591,49.4871476
NSA22M,Boczna ściana sklepu przy Parkingu,20.689564,49.6119651
NSA07M,Przy sklepie Żabka,20.6875383,49.6086798
NSA10M,Parking Lidl,20.679841,49.5943186
NSA01A,Przy Galerii Sandecja,20.6716905,49.5853969
NOK01M,Po prawej stronie parkingu koło Delikatesów Centrum,20.8106499,50.3033544
MPR01N,Przy sklepie Delikatesy ABC,20.7089683,49.5711029
NYK01M,Na parkingu przy przychodni zdrowia,20.2461749,51.8859599
NOJ01M,Na parkingu sklepu GS,19.30393,51.28364
NSV01M,Za sklepem spożywczym Livio,17.36719,50.36123
NBRW01M,Przy OSP,17.73892,50.34393
NOWD01BAPP,Market Dino,17.7030457,51.3030466
NDG01BAPP,Przy ciastkarni Wojt,19.1102713,54.2179965
