id,location,lon,lat
NYS01A,Przy Centrum Handlowym,17.3364912,50.4789582
NYS02A,Market Dino,17.3453199,50.4594409
NYS03N,Przy markecie Kaufland,17.3453286,50.4644484
NYS06M,Na stacji paliw BP,17.3420298,50.4677076
NYS03M,W tylnej części parkingu myjni,17.3411542,50.4552095
NYS01M,Po prawej stronie od wejścia do sklepu Mrówka,17.3479844,50.4890636
NYS05M,Przy sklepie Tad's Monopol,17.3418342,50.4853763
NYS21M,Za marketem Netto,17.34531,50.46112
NYS20M,Stacja paliw MOL,17.3592976,50.4540985
NYS19M,Przy hurtowni opakowań,17.3428606,50.4736273
NYS17M,Market Dino,17.3154076,50.4500723
NYS16M,"Przy sklepie ""Berlinek""",17.3389535,50.4652273
NYS13M,Po lewej stronie sklepu,17.34479,50.48738
NYS12M,Przy sklepie rowerowym,17.3394943,50.4722641
NYS11M,"Na parkingu, po lewej stronie sklepu",17.3356498,50.4540635
NYS10M,"Po prawej stronie salonu meblowego, w głębi parkingu",17.33182,50.48416
NYS07M,Przy sklepie Lewiatan,17.3491205,50.4607481
NYS02HP,w sklepie Duży Ben,17.3372,50.47008
NYS01HP,w sklepie Duży Ben,17.33411,50.47575
