id,location,lon,lat
OBS01M,Przy POLOmarkecie,16.9124575,51.3016455
OBS01ML,Przy sklepie Intermarche,16.9090131,51.2962803
OBS02N,"Za sklepem Biedronka, po prawej stronie od salonu urody",16.9088568,51.2949466
OBS01N,Po prawej stronie od wejścia do sklepu Rabat,16.9232404,51.2986403
OBS02M,Przy sklepie Lewiatan,16.9230545,51.2994471
OBS03M,Obok Kancelarii Notarialnej,16.9074259,51.3054078
OBS04M,Market Dino,16.9247792,51.2980771
OBW03M,Market Dino,16.8062259,52.6430287
OBW07M,Myjnia samochodowa,16.8057173,52.6487029
OBS01APP,Przy pasażu handlowym,16.9094689,51.3030453
OBW01A,Przy sklepie Intermarche,16.8170068,52.6468365
OBW01M,Przy sklepie Lidl,16.8165068,52.6456862
OBW02N,Przy Centrum Rekreacyjnym,16.8064777,52.6533974
MLEC01A,Na ścianie budynku,21.0345429,51.4326254
OBW11M,Przy Żabce,16.8172601,52.6442942
