id,location,lon,lat
OLS15M,przy Lidlu,20.4482715,53.7864652
OLS11A,Przy parkingu Warmia Wheels,20.4928807,53.7417249
OLS08M,Przy sklepie Stodoła,20.4358566,53.7671028
OLS08N,Przy akademiku,20.4599825,53.7553707
OLS30M,przy aptece Savita,20.5136045,53.7396988
OLS23M,przy sklepie Lewiatan,20.49487,53.76574
OLS29M,przy Kauflandzie,20.49593,53.76344
OLS22A,Przy budynku mieszkalnym,20.4899271,53.7415673
OLS13M,przy Lidlu,20.4667813,53.7572012
OLS03M,Przy Domu studenta 119,20.4516985,53.7488567
OLS12A,Przy sklepie Intermarche,20.4912282,53.7323668
OLS27A,Przy budynku mieszkalnym,20.478071,53.7260607
OLS01H,wewnątrz lokalu,20.47128,53.7206789
OLS17A,Przy sklepie Lewiatan,20.4058977,53.8005753
OLS04N,Przy gabinecie stomatologicznym Dentalfit,20.4421662,53.8034557
OLS39M,przy Carrefour,20.4406254,53.800011
OLS21M,przy poradni psychologicznej,20.4583684,53.7817937
OLS42M,przy posesji prywatnej,20.466437,53.770026
OLS24M,przy Biedronce,20.4297473,53.7687519
OLS33M,przy Żabce,20.4190833,53.7649197
OLS06N,Przy biurowcu Ubezpieczenia Zawistowscy,20.5178053,53.7861835
OLS18M,przy Lidlu,20.5116114,53.7786909
OLS09M,przy sklepie Malwa,20.4975044,53.7727007
OLS37M,przy sklepie Kalina,20.5018389,53.7794506
OLS02M,Przy stacji paliw Circle K,20.5001878,53.7839269
OLS21A,przy sklepie medycznym,20.4827653,53.791414
OLS26A,Przy warsztacie samochodowym,20.4705469,53.7816239
OLS06A,Przy Centrum Handlowym Victor,20.4992577,53.7727541
OLS02APP,kwiaciarnia MAK,20.4984634,53.7686736
OLS04G,przy Firmie Smart,20.5241385,53.7650176
OLS06BAPP,przy Aldi,20.4962905,53.7320702
