id,location,lon,lat
OTS18M,Przy budynku na skrzyżowaniu ulic Markowskiego/Niemena,21.583582,53.0782156
OTS17M,Przy biurze Umbrella Systemy Informatyczne,21.6134628,53.0661126
OTS16M,COMFORT Salon KRISHOME,21.5799328,53.0793075
OTS15M,Budynek mieszkaniowy,21.6057486,53.0610212
OTS14M,Przy ulicy Zawadzkiego 6a,21.5905865,53.08075
OTS13M,Przy Biedronce,21.5730334,53.0768083
OTS12M,BeeHero Klub Sportowy,21.5671681,53.0650574
OTS11M,Przy stacji Circle K,21.5815919,53.0732077
OTS10M,"Przed blokiem, od strony ulicy",21.5939174,53.0678534
OTS07M,"Przy szkole nauki jazdy, obok parkingu",21.5778063,53.087535
OTS06M,"Obok Pepco, po prawej stronie budynku",21.5636145,53.0731601
OTS05M,Naprzeciwko wejścia do Poczty Polskiej,21.6111978,53.0750858
OTS05A,Przy Spółdzielni Handlowiec,21.5747773,53.081221
OTS04A,Obok sklepu,21.59275,53.06995
OTS03W,Przy sklepie Master,21.60049,53.09613
OTS03N,Przy sklepie ABC,21.6172063,53.0575952
OTS03M,Przy posesji prywatnej,21.5875171,53.0755886
OTS03A,Przy markecie E.Leclerc,21.5818428,53.0725397
OTS02W,Przy myjni samochodowej Profit,21.6008616,53.0837891
OTS02N,Przy sklepie Lewiatan,21.5936587,53.0731907
OTS02M,Przy RZRKiOR,21.565301,53.0784554
OTS02A,Przy Galerii Bursztynowej od strony ulicy Rodziny Ulmów,21.5767056,53.0757562
OTS01N,Przy markecie Biedronka,21.6073393,53.0978149
OTS01A,Obok Sinsay,21.583343,53.0845297
OST05A,Przy bezdotykowej myjni samochodowej,21.559598,53.0880824
OST04N,Przy sklepie Prim Market,21.5823551,53.08822
OST03M,Przy sklepie Lidl,21.5838912,53.0712927
OST02N,Przy sklepie Groszek,21.6005313,53.0542482
OST02M,Przy sklepie Lidl,21.5883348,53.0847558
