id,location,lon,lat
OSM01A,Przy markecie Kaufland,21.8895446,52.8138233
OSM02N,Przy sklepie Lewiatan,21.9040218,52.806726
OSM02A,Przy Centrum Handlowym Vien,21.8947592,52.80553
OWI03N,Przy markecie Lewiatan,17.81141,51.637
OWI05A,Na prywatnej posesji przy ul. Królowej Jadwigi 50,17.81977,51.6572
OWI02N,Przy markecie Intermarche,17.83057,51.64411
OWI09A,Przy miejskim targowisku,17.81063,51.64411
OWI311,Stacja paliw Lotos,17.8007354,51.656421
OWI14N,przy sklepie Lewiatan,17.83616,51.6627
OWI21M,przy sklepie spożywczym,17.85883,51.6447
OWI23M,Market Dino,17.7919616,51.6562533
OWI05N,Przy sklepie Lewiatan,17.86734,51.64225
OWI11N,"Na stacji paliw Circle K, za budynkiem",17.80853,51.6545
OWI01A,Przy markecie Kaufland,17.8073028,51.6506067
OWI09M,Parking przy budynku,17.84869,51.64809
OWI11M,Wjazd na parking hurtowni zabawek,17.791083,51.6633308
OWI16M,przy stacji benzynowej BP,17.7733002,51.6580113
OWI02A,Przy sklepie POLOmarket,17.8292833,51.6393732
OWI04M,Przy sklepie Lewiatan,17.791849,51.6673512
OWI19M,ściana boczna ciągu garaży,17.8322329,51.6319763
OWI13M,Market Dino,17.78658,51.67027
OWI01HO,Przy wejściu do Galerii,17.82251,51.65029
OSR01M,Przy sklepie spożywczym Piotruś Pan,22.7203272,49.79371
OSM07M,Na froncie sklepu spożywczego,21.9101706,52.8024165
OWI27M,Przy sklepie Żabka,17.8246938,51.6601819
