id,location,lon,lat
PAB13M,PAB13M,19.3448591,51.6597631
PAB04M,Przy supermarkecie Media Expert,19.3394,51.6665
PAB06M,Przy sklepie Basia,19.3206696,51.6615334
PAB09M,Na końcu parkingu sklepu Lidl,19.3816487,51.651636
PAB12M,Na parkingu przy aptece Pabianka,19.35163,51.66994
PAB11M,Za budynkiem restauracji Pikanteria,19.35234,51.66052
PAB16M,Parking przy salonie meblowym BRW,19.36031,51.66359
PAB15M,Na posesji Bugaj 71 w Pabianicach,19.36691,51.65522
PAB19M,Na parkingu przy aptece,19.33934,51.65624
PAB17M,Market Dino,19.38619,51.65309
PAB24M,W płocie posesji na ul. Wysokiej 17,19.3378717,51.6586763
PAB03M,"Na tyłach Biedronki, przy sklepie papierniczym",19.37067,51.65759
PAB02M,Przy sklepie Adrenalina,19.3583487,51.6651717
