id,location,lon,lat
PSI04N,Przy markecie Netto,18.9513404,50.39031
PSI05N,Market Dino,18.9488894,50.412793
PSI934,Przy oddziale kurierskim,18.9661944,50.3436455
PSI18M,Piekary Gigant Bursztynowa,18.96096,50.38874
PSI17M,Obok sklepu,18.9470773,50.3958402
PSI15M,Sklep Spożywczy GIGANT Piekary Kasztanowa,18.93214,50.38206
PSI14M,Market Dino,18.98029,50.35461
PSI11M,Parking Piekary Śl. Kotuchy,18.96521,50.33918
PSI10M,Stokrotka Piekary Skargi,18.95031,50.3867
PSI08M,Market Dino,18.9919977,50.3471323
PSI07N,Posesja Piekary Śl. Waculika 12,18.95823,50.39605
PSI06M,Za sklepem Żabka,18.94332,50.37998
PSI06A,ALDI Piekary Roczkowskiego,18.9596439,50.3908676
PSI05M,Sklep Henpol,18.9669712,50.3933584
PSI04M,Parking w bramie,18.9510389,50.373272
PSI03M,Na parkingu sklepu Lidl,18.9542931,50.3840118
PSI03A,Przy sklepie Supeco,18.96323,50.391
PSI02B,Media Ekspert Piekary Obwodnica,18.932247,50.3735515
PSI02APP,Posesja Piekary Śl. Konstytucji 41,18.95304,50.38792
PSI01M,Przy Slonskim Szynku,18.9810115,50.3461657
PSI01HP,w sklepie Duży Ben,18.96496,50.39267
