id,location,lon,lat
PIL22M,Przy sklepie LIVIO,16.77498,53.15418
PIL16M,Na tyłach sklepu spożywczego od strony ul. Wiosennej,16.73856,53.16968
PIL03A,Przy markecie Kaufland,16.7527769,53.1603257
PIL28M,Market Dino,16.750859,53.156596
PIL24M,"Prywatna posesja, na skrzyżowaniu ulic Korczaka z Lelewela",16.78256,53.15333
PIL14M,Przy myjni samoobsługowej.,16.7161804,53.1511468
PIL03M,Przy Galerii Kasztanowej,16.75612,53.15865
PIL03N,Przy sklepie Monter Shop,16.7725304,53.1623376
PIL02N,Stacja paliw AMIC ENERGY,16.75186,53.13648
PIL13M,Przy sklepie Lidla.,16.7344361,53.1442246
PIL19M,Przy sklepie Żabka,16.75424,53.16223
PIL23M,Przy Budynku Handlowo-Usługowym,16.747491,53.1751967
