id,location,lon,lat
PRD03M,Przy sklepie Procent,17.5635043,50.3141914
PRD01A,Przy stacji paliw,17.5664668,50.3212776
PRD02M,Na podwórzu za Barem |U Leszcza|,17.5820547,50.3204282
PRD01M,Po lewej stronie budynku centrum handlowego Czerwona Torebka,17.5950893,50.3215948
PRD01N,Przy PSB Mrówka,17.5893771,50.3241674
PRD05M,Przy Lidlu,17.588762,50.3229044
PRD08M,Pawilon handlowy przy byłych koszarach,17.5681398,50.3165009
PRD07M,Przy sklepie meblowym,17.58331,50.32003
PRD06M,"Przy hurtowni budowlanej, po lewej stronie budynku",17.58538,50.31872
PRD04M,Przy stacji Circle K,17.58723,50.32194
