id,location,lon,lat
PGD336,Przy Targowisku Miejskim,18.6478599,54.2587179
PGD02A,Przy Delikatesach Centrum,18.6500269,54.2602862
PGD05N,Przy cukierni Kropek,18.658762,54.2653635
PGD05M,parking Stacji Diagnostycznej Mański,18.6706087,54.2672599
PGD10M,spółdzielnia mieszkaniowa,18.650673,54.259381
PGD913,Przy markecie Bricomarche,18.6321647,54.2421509
PGD16M,posesja prywatna,18.6635079,54.2625562
PGD01M,Przy markecie Bingo,18.6587999,54.2599746
PGD13M,Przy banku PKO- od strony ulicy Ogrodowej,18.6322726,54.2570019
PGD06N,Market Fart,18.6301583,54.2587525
PGD09M,spółdzielnia mieszkaniowa,18.6296106,54.261138
PGD09N,Przy cukierni Sowa,18.637962,54.2617132
PGD04M,Przy wjeździe do Park Viva,18.6294402,54.2665157
PRC02N,Przy sklepie,18.1973268,53.3337461
PNET0922,Przy hostelu KRESS,18.6294489,54.2477134
PGD01APP,dom mieszkalny,18.6511499,54.2675723
PGD12M,Naprzeciwko sklepu Warka,18.6519646,54.2568663
PGD02BAPP,Przy sklepie Lidl,18.6475629,54.2685614
