id,location,lon,lat
PRU01A,Stacja paliw Shell,20.8060486,52.1673944
PRU15M,Przy odkurzaczach,20.8004852,52.1497846
PRU11M,Przy sklepie żabka,20.840047,52.1658542
WAW18N,Przy markecie Delikatesy Dragon,20.7961266,52.1562453
PRU06A,Przy sklepie Lidl,20.8135025,52.170821
PRU14M,"Na parkingu, od strony Alei Wojska Polskiego.",20.7986441,52.1575194
PRU06M,Przy budynku Starostwa Powiatowego w Pruszkowie,20.8021119,52.163232
PRU10M,Przy Browar Otwarte Bramy,20.798461,52.165502
PRU04M,Obok Vetlove Przychodnia Weterynaryjna,20.7839089,52.1657295
PRU19M,Naprzeciwko przystanku WKD Tworki,20.8229392,52.168877
PRU22M,Parking,20.8101164,52.1604963
