id,location,lon,lat
PRZ01M,Przy sklepie Netto,22.7618582,49.7854971
PRZ07M,Przy stacji Circle K,22.7771628,49.7881431
PRZ05M,Przy sklepie Tabac,22.7722608,49.7837737
PRZ02M,Na stacji paliw MOYA,22.7946278,49.7842811
PRZ08M,Przystacji Circle K,22.7646811,49.786653
PRZ09M,Przy sklepie LIDL,22.7918152,49.7822848
PRZ01E,Przy sklepie Piotruś Pan,22.7441999,49.7905663
PRZ06M,Na parkingu sklepu Lidl,22.7733572,49.7935927
PRZ03M,Przy stacji paliw WATKEM,22.7240557,49.7917978
PRZ05N,Przy sklepie Piotruś Pan,22.7946475,49.7530703
PRZ02N,Przy sklepie spożywczym Aljan,22.7650604,49.7964461
PRZ04N,Przy Cukierni Osiedlowej,22.753961,49.7857661
PRZ04M,Przy myjni BKF i stacji Kontroli Pojazdu,22.7719116,49.8071714
PRZ10M,Na Parkingu Centrum Ogrodniczego,22.7810248,49.7784446
PRZ01A,Przy sklepie Tesco,22.7560748,49.79738
