id,location,lon,lat
RAD01W,Parking Salonu Hydro-Agro Centrum,21.1423055,51.4504467
RAD04A,Przy pawilonie handlowym,21.1393305,51.3904713
RAD01N,Przy Delikatesach Premium,21.1457243,51.3946007
RAD04N,Stacja paliw Total LPG,21.1740879,51.4118086
RAD24M,Na parkingu sklepu Lidl,21.1673101,51.4318848
RAD17M,Na myjni bezdotykowej X CAR WASH,21.1497291,51.4292944
RAD14M,Przy sklepie Społem od strony parkingu,21.1621132,51.4213318
RAD07A,Przy markecie Carrefour,21.1582809,51.3837662
RAD05M,Przy Centrum Handlowym Hop Stop od ulicy Ignacego Paderewskiego,21.1680758,51.4182437
RAD02N,Przy Centrum Handlowym Echo,21.1534802,51.4259656
RAD16M,Na parkingu sklepu Lidl,21.116962,51.4024494
RAD28M,Przy budynku od strony poczty,21.1071632,51.382834
RAD22M,Pomiędzy budynkami nr 10 i 12,21.127109,51.3639661
RAD48M,Przy Pepco,21.1234958,51.3670744
RAD06N,Parking przy Delikatesach Centrum,21.1341427,51.3650948
RAD06A,Przy markecie Leclerc,21.1267485,51.3785673
RAD12M,Na tylnej ścianie sklepu Społem,21.1271329,51.3892508
RAD23M,Na parkingu sklepu Lidl,21.1263258,51.3744292
RAD44M,Przy sklepie motoryzacyjnym Mal-Fur,21.1216452,51.3943104
RAD10A,Przed stacją Artus,21.0949077,51.3870386
RAD01M,Przy myjni bezdotykowej X-CAR WASH,21.109358,51.3985609
RAD15M,Na parkingu Lidla,21.1408821,51.3912616
RAD03A,Stacja paliw BP,21.1219533,51.4062697
RAD01A,Przy markecie Biedronka,21.1319828,51.4048753
RAD09A,Stacja paliw AMIC ENERGY,21.1309982,51.4126795
RAD384,Przy Targ Korej,21.1455543,51.4086827
RAD45M,Przy Aldi,21.1418506,51.4054409
RAD02A,Przy Mar-comp,21.149495,51.4033222
RAD01G,Stacja paliw BP,21.1523008,51.405534
RAD26M,Przy Rossmann,21.1552166,51.4006799
RAD03M,Przy Zakładzie Usług Elektrycznych Margo,21.1595263,51.4034786
RAD51M,Przy sklepie Żabka,21.1632727,51.4064543
RAD06M,Przy myjni bezdotykowej AutoJet,21.1547436,51.4148237
RAD02M,Przy Stacji Kontroli Pojazdów AZNiRR,21.1602613,51.4156005
RAD41M,Przed Robmłynem,21.1454726,51.4332482
RAD38M,Przy sklepie spożywczym,21.1373983,51.4439243
RAD50M,Przy administracji SM Michałów,21.1597663,51.4296978
RAD05A,Od strony strefy dostaw,21.1637249,51.3979859
RAD27M,Przy sklepie Społem,21.1746724,51.4071675
RAD11M,Przy sklepie Społem Witaminka,21.1676925,51.4071953
RAD33M,Naprzeciwko kościoła,21.1725956,51.4041589
RAD36M,Przy sklepie mięsnym,21.1784783,51.4112322
RAD03N,Przy Centrum Handlowym,21.1760979,51.4095329
RAD07M,Za sklepem Lidl od strony parkingu,21.1766814,51.4099795
RAD30M,Przy bloku na ul. Piwnika 1,21.1763629,51.417337
RAD49M,Przy budynku ul. Hallera 13,21.1698992,51.4169397
RAD32M,Na tylnej ścianie klubu osiedlowego,21.1562849,51.3817686
RAD21M,Na ścianie budynku Czarnoleska 21,21.1320428,51.3718946
RAD34M,Przed Apteką,21.1428951,51.3772352
RAD09M,Przy budynku na ulicy Młodzianowskiej 144,21.1527756,51.3784953
RAD53M,Na myjni bezdotykowej,21.1622499,51.3840725
RAD19M,Przy wejściu do sklepu Lewiatan,21.1686205,51.3758931
RAD52M,Przy ubezpieczalni,21.1516953,51.376606
RAD07N,Przy Centrum Handlowym M1,21.1697673,51.3814056
RAD08A,Po lewej stronie od wejścia do sklepu PSS Społem,21.1610433,51.376287
RAD39M,Na stacji gazowej,21.1930261,51.389771
RAD46M,Przy sklepie Katarzynka,21.1738188,51.393187
RAD35M,Na myjni bezdotykowej,21.1669195,51.39065
RAD43M,Przy sklepie Społem,21.1704827,51.390348
RAD47M,Przy sklepie spożywczym,21.1958479,51.3817375
RAD10M,Na terenie stacji LPG,21.1771281,51.3847436
RAD05N,Przy Zakładzie Optycznym Optido,21.187749,51.3745082
RAD29M,Na stacji gazowej LPG-Radom,21.2038601,51.3602301
RAD42M,Przy sklepie ABC,21.13856,51.4170487
RAD40M,Na stacji gazowej,21.2241722,51.4256637
RAD13M,Przy sklepie Delikatesy Premium,21.1001604,51.3667487
RAD37M,Przy sklepie Delikatesy Premium,21.0703768,51.369377
RAD54M,Na posesji prywatnej,21.152772,51.368336
RAD05W,Parking przy stacji benzynowej Kastor,21.1275138,51.3616074
RAD02W,Obok Salonu Obuwniczego Marco Shoes,21.1660214,51.4388239
RAD55M,Przy Aldi,21.1594534,51.4246761
RAD06BAPP,Obok budynku Stacji AUTO GAZ wjazd od ul. Kapturskiej,21.1307578,51.4140664
RAD04W,Stacja paliw ATH HERNIK,21.0990903,51.3914697
RAD56M,Przy Autokomisie,21.1460062,51.4415927
RAD07W,Boczna ściana Salonu Elewacji.,21.1939322,51.3968811
RAD59M,Przy sklepie spożywczym,21.1254707,51.3864723
RAD57M,Przy sklepie spożywczym,21.1295349,51.4097294
RAD60M,Przy stacji benzynowej Greg-Mar,21.0818848,51.3996102
RAD58M,Na przeciwko boiska piłkarskiego,21.1730235,51.4187453
