id,location,lon,lat
ROG01A,Na parkingu przy sklepie Lewiatan,16.995649,52.7515198
ROG05M,Przy sklepie spożywczym,17.0091386,52.7539681
ROG01N,Przy Delikatesach Centrum,16.987616,52.7514147
ROG02M,Przy wejściu na Targowisko Miejskie,17.0010004,52.7464656
ROG01M,Na terenie myjni bezdotykowej Błysk,16.9785432,52.7581872
RXG01M,Przy sklepie spożywczym,23.3947062,50.456559
RGQ01M,Przy Urzędzie Gminy,18.9282329,53.5324723
ROG06M,Przy sklepie Pepco,16.9909004,52.752391
ROG03M,Na parkingu salonu Ludwik Style,16.9854064,52.7517351
ROG04M,Przy markecie LIDL,16.974746,52.757373
