id,location,lon,lat
ROP01A,Przy Banku Alior,21.6120524,50.0535779
ROP04M,Na parkingu po prawej stronie,21.6176856,50.0545376
ROP02A,Na parkingu restauracji Laguna,21.5986507,50.0557715
ROP03M,Przy plebanii kościoła Św. Barbary,21.6037194,50.0616724
ROP02M,Przy wejściu do sklepu Lewiatan,21.5856138,50.07411
ROP05M,Przy sklepie Delikatesy Centrum,21.5902407,50.0430564
ROP01N,Przy markecie Mrówka,21.6321752,50.056507
ROP01M,"przy dawnym sklepie Lewiatan, w pobliżu warsztatu",21.6384027,50.0710346
ROP02G,Stacja Alta Trans przy odkurzaczu,21.5895605,50.0683009
ROP01BAPP,Przy sklepie Jubilatka od ul. Grunwaldzkiej,21.6076964,50.0529985
