id,location,lon,lat
RSL09N,Przy Restauracji Magnat,18.8942883,50.2754965
RSL04M,Przy sklepie Netto,18.8775486,50.2845346
RSL07N,Przy targowisku na ulicy Markowej,18.8765439,50.2879737
RSL02B,Przy myjni samochodowej,18.8635932,50.2747931
RSL03M,Przy sklepie Pod Ręką,18.8751167,50.3221099
RUW01M,Przy sklepie spożywczym,21.0484675,51.2875322
RUR01M,"Sklep spożywczy, na tej samej ścianie co Bankomat",23.1796804,50.3202942
RSL24M,Delikatesy Hanka Ruda Orzegów,18.8735238,50.3174642
RWS01M,Przy sklepie spożywczym,23.4754373,50.4335229
XRD01M,przy sklepie odido,22.5203295,53.5968899
RSL04N,Siłownia Xtreme Fitness Drozdów 1,18.8851992,50.2697069
RUU01M,Market Dino,16.9665861,52.7608896
RSL49M,Ruda Nowy Bytom Objazdowa,18.8733957,50.2835656
RSL48M,Ruda Godula Fojkisa 16,18.88677,50.3217
RSL47M,Ruda Wirek Jankowskiego,18.85869,50.27068
RSL46M,Aldi Ruda 1 Maja,18.8620087,50.272115
RSL43M,Parking Czarny Las Szpitalna 5,18.8556294,50.2740803
RSL38M,przy sklepie,18.88451,50.28096
RSL37M,obok restauracji,18.90509,50.25535
RSL29M,Opony RYMAR Ruda Kochłowice,18.90817,50.25071
RSL28M,obok pawilonów,18.86882,50.27243
RSL27M,"na parkingu, naprzeciwko restauracji Stara Drukarnia",18.8886558,50.317948
RSL25A,Godula Podlas 36,18.8817,50.31884
RSL24A,przy sklepie Żabka,18.91849,50.25458
RSL23M,na parkingu na tyłach budynku,18.8882132,50.3160104
RSL22M,Shell Ruda Czarny Las,18.8707661,50.2754289
RSL18A,Przy sklepie Rudex,18.8843287,50.2840282
RSL17M,Posesja prywatna Ruda Śląska Magdziorza 22,18.8617264,50.2638299
RSL14A,Żabka Ruda Piłsudskiego 210,18.9085715,50.2376105
RSL11M,Parking Obiekt Handlowy RSM Różyckiego 30,18.85568,50.27195
RSL02N,NETTO Ruda Goduli,18.8908361,50.3240917
RSL02HP,w sklepie Duży Ben,18.87623,50.28565
RVD01M,Parking przy sklepie spożywczym,18.61257,51.19971
RVA01M,Przy sklepie spożywczym,21.34953,50.20115
