id,location,lon,lat
RZE02M,Przy cukierni Społem i Banku Pekao,21.9944927,50.0188285
RZE23A,Przy stacji Watkem,22.0235067,50.0173424
RZE07N,Stacja paliw Źródełko,21.9959314,50.0569175
RZE21M,Przy sklepie E. Leclerc,22.0194996,50.0191593
RZE05A,Przy markecie Biedronka,22.0153148,50.0023459
RZE06A,Stacja paliw Mares,22.0343887,50.0329185
RZE03N,Przy wjeździe do płatnego Parkingu,21.9950095,50.0356432
RZE01A,Przy Porcie Lotniczym Rzeszów - na terenie strefy pasażerskiej przy parkingu,22.0257549,50.1153172
RZE14M,Przy sklepie Alkapone,21.9769527,50.0302467
RZE05N,Przy sklepie Biedronka,21.9554153,50.044176
RZE04A,Przy salonie łazienek BLU,22.0176821,50.0224685
RZE18A,Na tylnym parkingu przy sklepie meblowym Meblex,22.0178325,50.0252952
RZE01N,Stacja paliw BP,22.014523,50.0184466
RZE24A,Przy delikatesach Frac,22.0038743,50.0172618
RZE05M,Przy sklepie Społem,22.0224763,50.0235986
RZE01G,Przy delikatesach Premium,22.0186251,50.0281468
RZE09N,Stacja paliw Źródełko,21.9777656,50.0262503
RZE09A,Przy sklepie spożywczym MARMAX,21.9776547,50.0190781
RZE16A,Przy sklepie MarketVita,21.9563612,50.0069372
RZE10A,Przy sklepie Delikatesy Centrum,22.0451958,50.0385475
RZE06M,Obok budynku przy ulicy Twardowskiego 9,22.0327235,50.0339681
RZE15M,Przy bloku Grodzisko 3A,22.0037743,50.0352238
RZE01W,Przy Sklepie Delikatesy Centrum,21.9696564,50.036597
RZE45M,Maszyna z lewej strony galerii,21.9548983,50.0442798
RZE30M,Przy sklepie Lewiatan,21.9774886,50.0796549
RZE01M,Przy stacji paliw Watkem,21.9687938,50.013174
RZE11M,Na parkingu Delikatesy Centrum,22.0209678,49.9818479
RZE40M,Przy stacji,21.9616575,50.0164676
RZE46M,Przy sklpeie Nasz sklep,22.0217529,50.0093249
RZE08N,Przy sklepie Żabka,21.9897174,49.9961521
RZE20M,Przy Delikatesach Centrum,21.992907,49.9787904
RZE32M,Na parkingu Domu Kultury Matysówka,22.055643,49.9991316
RZE13M,Przy sklepie spożywczym,21.9938179,49.9665501
RZE13A,Przy parku handlowym,22.0246871,50.0018864
RZE23M,Przy sklepie Spar,22.0363657,50.0104595
RZE37M,Przy sklepie FRAC,21.9735687,50.016711
RZE31M,Przy sklepie Żabka,21.9991156,50.0120424
RZE36M,Przy sklepie Sieć Delikatesów GS,21.9547833,50.0076086
RZE35M,Przy Galerii Budziwój,21.9843406,49.9680602
RZE03M,Przy sklepie Społem,21.989493,50.0232951
RZE28M,Przy sklepie Lidl,22.0056122,50.0249827
RZE11N,Przy myjni samochodowej,22.0418925,50.028923
RZE24M,Przy Galerii NOVA od parkingu dawnego TESCO,22.0141005,50.0192888
RZE38M,Przy Folwark Center Rzeszów,22.0419654,50.0260843
RZE02N,Przy sklepie Majster,21.9743395,50.0241676
RZE11A,Przy sklepie Centrum Dekoral Professional,22.0347926,50.0277404
RZE19M,Przy centrum Handlowym w przejściu wewnętrzym (podcienia),22.0079038,50.0259981
RZE12M,Parking Delikatesów Centrum,22.0453081,50.0244069
RZE26M,Przy myjni Auto Błysk,21.9822512,50.0259894
RZE41M,Przy stacji paliw Moya,22.0302624,50.0252987
RZE09M,"Na parkingu, po lewej stronie wejścia do sklepu Lidl",21.9966901,50.0232727
RZE17M,"Przy pawilonie, obok sklepu Żabka",22.0072634,50.0210416
RZE02A,Stacja paliw Shell,21.990462,50.0425566
RZE27M,Przy Agencji Rozwoju Regionalnego front budynku,22.002372,50.0319206
RZE03W,Przy sklepie Delikatesy Centrum,21.9814928,50.0326359
RZE14A,Na parkingu Outlet Graffica,21.997314,50.0353798
RZE295,Przy parkingu samochodowym,21.9765142,50.0410076
RZE16M,Przy Galerii Rzeszów od ul. Piłsudskiego,21.996627,50.042383
RZE02HO,Wewnatrz Galerii Graffica obok sklepu Douglas,21.99633,50.03522
RZE19A,Przy Galerii Rzeszów wejście od ul. Stefana Czarnieckiego,21.9995244,50.042495
RZE07A,Przy Galerii Bi1,21.9765472,50.0392171
