id,location,lon,lat
SND02C,Przy markecie Bricomarche,21.7584006,50.6815465
SAN05N,Przed wejściem do sklepu Lewiatan,21.7352406,50.6869029
SAN06N,Po prawej stronie od wejścia do sklepu Familia,21.72938,50.6836143
SND01M,Przed wejściem do Apteki Sandomierskiej,21.7359582,50.6973124
SND03M,Po prawej stronie od wejścia do Media Expert,21.7489974,50.6964573
SND01A,Przy markecie Kaufland,21.7215961,50.6959323
SND06M,Tylny parking budynku,21.7342306,50.682586
SND08M,Przy sklepie Delikatesy Centrum,21.7625944,50.6661735
SND05M,Przy stacji,21.7378477,50.6731451
SND02M,Przy wejściu do Sklepu Familia,21.7467496,50.6619034
SND04M,Przy budynku Roma,21.7426332,50.6885505
SND02A,Przy wejściu do poczekalni dworca,21.7409642,50.6894415
SND01HO,przy schodach ruchomych,21.7326497,50.6856731
SND07M,Na parkingu sklepu Dino,21.7633876,50.6572524
