id,location,lon,lat
SAN02N,Przy sklepie Pepco,22.2050554,49.5658878
SAN04N,Przy sklepie spożywczym Alta,22.1651213,49.5695205
SAN04M,Na parkingu sklepu LIDL,22.2058617,49.5565808
SAN07N,Przy myjni samochodowej,22.1934388,49.565581
SAN01G,Przy markecie Majster,22.2129933,49.5535922
SAN01H,Stacja BP wewnątrz w holu,22.2245966,49.5350791
SAN07M,Przy sklepie Hitpol,22.2009092,49.5530434
SAN03N,Przy markecie Kaufland,22.2067083,49.5669647
SAN09M,Przy sklepei Delikatesy Centrum,22.1886547,49.5703626
SAN01A,Przy Galerii Posada,22.2176862,49.5486774
SAN03M,Na parkingu sklepu Stokrotka,22.2008163,49.5595163
SAN06M,Przy sklepie Sezamek,22.2137747,49.5454282
SAN05M,Przy myjni bezdotykowej Wulkanex,22.1539596,49.5695809
SAN08N,"Na osiedlu, obok sklepu Kalafiorek",22.1961675,49.572267
SAN02M,Przy sklepie Delikatesy Centrum,22.2283357,49.5531248
SAN08M,Przy galerii Sanok od ulicy Daszyńskiego,22.2015669,49.5574424
SAN01M,Przy Delikatesach Centrum,22.1879009,49.5625791
